run,step,value
001,57,2.0168681144714355
001,127,-1.106015682220459
001,307,-11.534982681274414
001,400,-12.71406078338623
001,484,-13.048100471496582
001,575,-13.529613494873047
001,670,-13.92919635772705
001,838,-13.625821113586426
001,1106,-12.998213768005371
001,1373,-12.461563110351562
001,1641,-12.032543182373047
001,1908,-11.756935119628906
001,2142,-11.523645401000977
001,2260,-11.481498718261719
001,2362,-11.453047752380371
001,2455,-10.404269218444824
001,2496,-10.169878005981445
001,2540,-9.952835083007812
001,2584,-9.757668495178223
001,2628,-9.59124755859375
001,2672,-9.447267532348633
001,2741,-8.983101844787598
001,2906,-7.246601104736328
001,3918,1.2494862079620361
001,5373,13.295818328857422
002,83,4.1609344482421875
002,239,-0.1600428819656372
002,544,-5.0692291259765625
002,1281,14.037017822265625
002,2071,28.004150390625
002,2968,62.059654235839844
002,3705,62.34467315673828
002,4136,55.08748245239258
002,4356,47.31959533691406
002,4899,48.53738784790039
003,75,-0.22946274280548096
003,679,58.57608413696289
003,1144,42.56388854980469
003,2055,73.50816345214844
003,2744,68.45790100097656
003,3383,60.929439544677734
003,4043,60.218936920166016
003,4674,59.87909698486328
003,4775,53.526641845703125
003,4857,48.32261657714844
003,4944,43.37189865112305
004,82,0.9910127520561218
004,237,-0.7604527473449707
004,830,33.60303497314453
004,1638,47.33534240722656
004,2415,53.9654426574707
004,3117,55.391151428222656
004,3889,67.55567932128906
004,4352,65.19586181640625
005,65,0.4945555031299591
005,126,-1.571675419807434
005,183,-3.0538628101348877
005,260,-2.957921028137207
005,335,-1.8485244512557983
005,580,8.347199440002441
005,871,17.515289306640625
005,1381,20.750659942626953
005,1969,28.031951904296875
005,2850,57.68606948852539
005,3571,74.43364715576172
005,4492,87.80144500732422
006,98,-0.4166199862957001
006,453,-0.14383387565612793
006,730,-4.555029392242432
006,1004,-5.990689277648926
006,1103,-8.196179389953613
006,1197,-9.635218620300293
006,1292,-10.641793251037598
006,1385,-11.338706970214844
006,1479,-11.924420356750488
006,1575,-12.418859481811523
006,1851,-4.829653263092041
006,2341,1.2269047498703003
006,3083,11.212506294250488
006,3704,30.10401725769043
006,4343,46.82163619995117
006,4958,60.91419219970703
007,66,-1.8119962215423584
007,120,-1.1487619876861572
007,486,13.79127025604248
007,847,21.957502365112305
007,1452,36.20088577270508
007,2315,59.87799835205078
007,3172,65.9668960571289
007,3902,69.82528686523438
007,4240,69.17782592773438
007,4569,64.90624237060547
008,97,7.863753318786621
008,206,10.696821212768555
008,365,8.11751651763916
008,534,6.879565238952637
008,809,3.9658291339874268
008,1555,36.5250244140625
008,2259,73.78491973876953
008,2985,95.53312683105469
008,3667,97.38724517822266
008,4353,104.69364929199219
008,5010,113.58560180664062
009,68,1.9682910442352295
009,131,-2.457796573638916
009,260,1.529958963394165
009,442,-3.205162525177002
009,848,-10.874210357666016
009,1406,26.09015464782715
009,1986,59.43433380126953
009,2600,85.62540435791016
009,3203,105.91360473632812
009,3849,123.2151870727539
009,4409,135.61277770996094
009,5077,148.6886749267578
010,66,-0.7942280173301697
010,337,0.4246521294116974
010,1093,25.77410316467285
010,1828,37.05384826660156
010,2437,41.70118713378906
010,2904,40.16084289550781
010,3548,42.77102279663086
010,4155,45.3155517578125
010,5098,62.05543518066406
011,5856,162.60452270507812
011,6610,174.37779235839844
011,7279,183.09681701660156
011,7903,190.5918731689453
011,8585,198.9429931640625
011,9484,209.46726989746094
011,10198,216.6785125732422
012,5624,156.7789764404297
012,6185,164.48126220703125
012,6795,172.96469116210938
012,7461,173.01133728027344
012,8111,179.3068389892578
012,8898,189.79666137695312
012,9733,196.42803955078125
013,5759,155.78932189941406
013,6461,166.27804565429688
013,7091,174.16697692871094
013,7586,178.00042724609375
013,8096,181.61961364746094
013,8657,186.01683044433594
013,9274,187.19932556152344
013,10022,193.8624267578125
014,5710,159.59242248535156
014,6054,153.02389526367188
014,6564,155.5331573486328
014,7145,162.84130859375
014,7857,172.78416442871094
014,8602,181.82962036132812
014,9209,187.6277313232422
014,9779,192.32958984375
015,5760,160.5838165283203
015,6519,162.47633361816406
015,7334,174.99888610839844
015,8040,184.369873046875
015,8815,195.06312561035156
015,9535,204.06578063964844
016,5717,159.79437255859375
016,6342,168.7212677001953
016,7028,174.10740661621094
016,7718,182.5768280029297
016,8551,192.72157287597656
016,9336,202.0150604248047
016,10090,210.66452026367188
017,5748,159.95941162109375
017,6315,167.6234588623047
017,6833,173.2920379638672
017,7389,178.8665008544922
017,8100,187.03028869628906
017,8765,193.7740936279297
017,9384,199.50111389160156
017,10092,206.31201171875
018,5693,154.47702026367188
018,6360,151.78086853027344
018,6937,150.8001251220703
018,7457,141.97434997558594
018,8197,145.54222106933594
018,8943,152.2149658203125
018,9567,159.76380920410156
018,10209,167.63162231445312
019,5862,161.83901977539062
019,6435,168.81509399414062
019,7091,177.2657470703125
019,7868,183.8970184326172
019,8702,195.18968200683594
019,9442,204.00253295898438
019,10130,211.31546020507812
020,5691,153.87889099121094
020,6470,162.27076721191406
020,7102,171.07965087890625
020,7653,177.20086669921875
020,8234,183.67591857910156
020,9088,193.5186767578125
020,9786,202.0453643798828
021,11141,223.59222412109375
021,12041,228.37518310546875
021,12823,234.90151977539062
021,13600,233.63685607910156
021,14450,238.6656494140625
021,15406,249.0641326904297
022,11802,228.1144256591797
022,12714,236.00656127929688
022,13624,244.25717163085938
022,14349,239.71817016601562
022,14874,235.4932403564453
023,10979,224.33436584472656
023,11815,231.0738067626953
023,12610,237.90121459960938
023,13637,248.10098266601562
023,14568,255.94247436523438
024,11004,224.8882598876953
024,11738,231.05169677734375
024,12244,229.53988647460938
024,12878,232.17645263671875
024,13370,232.87039184570312
024,14115,240.0695343017578
024,14902,253.28176879882812
025,11076,225.19993591308594
025,11935,233.78184509277344
025,12761,241.24551391601562
025,13476,246.76092529296875
025,14200,252.29925537109375
025,14903,256.9378356933594
026,10983,224.83921813964844
026,11780,232.7550048828125
026,12588,241.5906524658203
026,13506,246.6239013671875
026,14316,253.36898803710938
026,15133,260.8052062988281
027,11078,225.1094512939453
027,11792,231.75115966796875
027,12657,242.02980041503906
027,13518,251.03282165527344
027,14292,258.56500244140625
027,15066,265.60333251953125
028,11040,221.440673828125
028,11810,229.4366912841797
028,12542,236.12301635742188
028,13628,246.74488830566406
028,14316,251.02220153808594
028,15200,256.8194274902344
029,11044,225.29127502441406
029,12029,234.8927459716797
029,12643,236.48341369628906
029,13212,237.38075256347656
029,13830,239.0244598388672
029,14568,241.1759490966797
029,15285,256.6475524902344
030,11090,225.82943725585938
030,11857,233.222412109375
030,12643,242.47642517089844
030,13439,251.08872985839844
030,14217,258.8516540527344
030,15021,265.9000244140625
031,15779,282.5538024902344
031,16689,299.4844055175781
031,17456,314.10614013671875
031,18169,329.19439697265625
031,18986,346.958740234375
031,19745,354.58062744140625
032,15769,282.22564697265625
032,16524,298.3165588378906
032,17435,315.8219909667969
032,18270,333.8088684082031
032,19119,352.86749267578125
032,19867,360.4736633300781
033,16605,286.9794921875
033,17377,300.5683898925781
033,18097,312.4716796875
033,18846,327.64794921875
033,19519,343.1448059082031
033,20168,348.22393798828125
034,15776,282.62933349609375
034,16672,298.81158447265625
034,17980,318.5430908203125
034,18894,336.14300537109375
034,19678,354.6198425292969
034,20365,360.55462646484375
035,15675,280.7613830566406
035,16637,294.531982421875
035,17477,308.962158203125
035,18202,320.6865234375
035,18870,332.2061462402344
035,19662,340.38641357421875
036,15854,279.99163818359375
036,16724,289.05810546875
036,17910,300.23046875
036,19052,318.55792236328125
036,20076,341.6344299316406
037,15994,284.82635498046875
037,16945,295.0522766113281
037,18006,314.87957763671875
037,18854,329.24346923828125
037,19726,347.8333740234375
038,16048,285.85186767578125
038,16885,294.118896484375
038,17772,307.17047119140625
038,18868,315.6488342285156
038,19567,324.2410888671875
039,15832,283.1307373046875
039,16627,296.26495361328125
039,17545,309.5459899902344
039,18341,326.46002197265625
039,19214,338.0931701660156
039,19926,344.5461120605469
040,15754,281.9375
040,16805,304.76824951171875
040,17684,316.2122802734375
040,18538,330.7359924316406
040,19160,344.3666687011719
040,20011,353.2093505859375
041,21077,363.7983093261719
041,22009,363.7145690917969
041,22800,364.84423828125
041,23583,368.5671691894531
041,24324,369.5758056640625
041,25165,372.3673400878906
042,21261,366.20452880859375
042,21846,365.9161376953125
042,22304,359.6842956542969
042,22723,354.82940673828125
042,23390,345.7467956542969
042,24057,341.3726806640625
042,24541,336.64166259765625
042,25037,332.73907470703125
042,25452,328.5030822753906
043,20919,361.6824035644531
043,21659,360.6742858886719
043,22106,350.9068603515625
043,22650,349.0942077636719
043,23172,348.8471374511719
043,23786,346.2601318359375
043,24412,345.8089294433594
043,25190,346.8170471191406
044,21164,364.0788879394531
044,22065,364.9037780761719
044,23409,374.8613586425781
044,24155,373.07696533203125
044,25172,381.4505615234375
045,20943,363.1746826171875
045,21852,367.1320495605469
045,22717,372.80462646484375
045,23471,373.8629455566406
045,24104,377.1136169433594
045,24677,377.1634826660156
045,25292,376.8285217285156
046,21289,364.4359130859375
046,21987,367.30572509765625
046,22502,367.5575256347656
046,23068,363.9630126953125
046,23938,369.4740905761719
046,24503,365.3400573730469
046,25177,365.5486755371094
047,21005,364.1624450683594
047,22040,369.4368591308594
047,22663,371.4055480957031
047,23377,375.7503662109375
047,23996,373.273193359375
047,24653,372.5365905761719
047,25390,374.55963134765625
048,21122,364.2101135253906
048,21642,363.57965087890625
048,22142,362.14385986328125
048,22784,362.54205322265625
048,23315,362.08905029296875
048,23892,360.74041748046875
048,24593,361.0265197753906
048,25167,356.88250732421875
049,20922,357.908203125
049,21570,350.9714660644531
049,23245,359.9674072265625
049,24002,360.43121337890625
049,25026,367.34063720703125
050,21109,364.7705383300781
050,22259,368.4450988769531
050,22869,369.0113525390625
050,23668,374.2698974609375
050,24483,380.4378662109375
050,25412,378.1480712890625
051,26164,381.4289245605469
051,26665,370.00274658203125
051,27356,360.0260314941406
051,27767,347.8924255371094
051,27918,335.3694763183594
051,28053,321.7232666015625
051,28224,305.7644348144531
051,28442,291.2013244628906
051,28901,274.97967529296875
051,29686,262.8700256347656
051,30512,250.13230895996094
052,25807,379.2966613769531
052,26588,373.6630554199219
052,27353,366.9599609375
052,27820,356.2008361816406
052,28521,351.236328125
052,29216,352.6983337402344
052,29961,352.5412292480469
053,25798,379.683837890625
053,26545,374.39678955078125
053,27514,374.1407470703125
053,28442,373.6230773925781
053,29150,364.6274108886719
053,30050,365.25006103515625
054,25920,383.9831237792969
054,27317,390.9361267089844
054,28023,390.90765380859375
054,28622,382.7913513183594
054,29153,369.37548828125
054,29460,356.15594482421875
054,29971,341.13092041015625
054,30647,328.5525207519531
055,25810,381.7239990234375
055,26497,379.9087829589844
055,27132,378.6343688964844
055,28107,382.0094299316406
055,28924,378.8736572265625
055,29528,373.14947509765625
055,30045,364.51904296875
056,25907,382.5424499511719
056,26742,379.524658203125
056,27916,379.06591796875
056,28310,367.1615295410156
056,28608,358.4752502441406
056,28808,345.1845703125
056,30291,349.0526428222656
057,25984,380.804443359375
057,27129,378.5532531738281
057,27783,377.382080078125
057,28497,377.7613525390625
057,29144,377.4954528808594
057,29778,375.9963073730469
057,30451,372.6705627441406
058,25796,379.5771484375
058,26376,373.5057373046875
058,27079,370.3647766113281
058,27704,363.5308837890625
058,28333,358.4700622558594
