run,step,value
001,93,1.1945199966430664
001,281,-11.329035758972168
001,418,-10.649709701538086
001,555,-10.450451850891113
001,826,-9.65477466583252
001,1094,-9.547589302062988
001,1363,-9.277172088623047
001,1629,-9.12442684173584
001,1896,-9.017082214355469
001,2164,-8.836990356445312
001,2431,-8.814129829406738
001,2699,-8.858299255371094
001,3213,-6.134637355804443
001,3982,-0.059971071779727936
001,4666,5.219057083129883
001,5093,10.96069622039795
001,5137,9.939837455749512
001,5181,9.030920028686523
001,5296,8.765978813171387
001,5571,12.331914901733398
001,5863,15.274971961975098
001,6161,18.05095863342285
001,6453,20.552085876464844
001,6743,22.65281105041504
001,7385,25.110687255859375
001,8168,27.81134796142578
001,9066,35.928924560546875
001,9912,39.61104965209961
002,98,2.8766305446624756
002,283,2.843320846557617
002,374,-3.392364740371704
002,729,10.101846694946289
002,1518,24.94780158996582
002,2248,32.36204528808594
002,3059,40.4310417175293
002,3842,45.689125061035156
002,4517,46.877532958984375
002,5331,51.22747039794922
002,6082,53.353355407714844
002,6777,54.05988311767578
002,7673,58.30668640136719
002,8388,58.89364242553711
002,9130,59.768489837646484
002,9899,60.94449234008789
003,123,4.55338716506958
003,301,19.82242202758789
003,950,37.96644973754883
003,1218,26.26784896850586
003,1486,19.380470275878906
003,1754,14.930534362792969
003,2021,11.675881385803223
003,2289,9.187634468078613
003,2556,7.238742351531982
003,2824,5.66212272644043
003,3092,4.468661785125732
003,3361,3.4197046756744385
003,3628,2.5314552783966064
003,3897,1.8581068515777588
003,4165,1.2421317100524902
003,4432,0.5651609301567078
003,4700,0.03370138257741928
003,4968,-0.4471815824508667
003,5236,-0.840386152267456
003,5503,-1.2418842315673828
003,5771,-1.5739362239837646
003,6037,-1.923230528831482
003,6305,-2.2041549682617188
003,6572,-2.483138084411621
003,6838,-2.728362798690796
003,7106,-3.2375686168670654
003,7374,-4.986883640289307
003,7642,-8.30545425415039
003,7910,-8.23620319366455
003,8177,-8.226485252380371
003,8400,-8.31820297241211
003,8493,-8.647567749023438
003,8587,-8.974335670471191
003,8685,-9.32677173614502
003,8778,-9.629121780395508
003,8871,-9.987420082092285
003,8966,-10.336507797241211
003,9059,-10.719045639038086
003,9129,-11.128983497619629
003,9177,-11.513909339904785
003,9225,-11.808945655822754
003,9273,-12.146394729614258
003,9321,-12.483085632324219
003,9369,-12.843241691589355
003,9417,-13.163726806640625
003,9465,-13.511073112487793
003,9513,-13.814706802368164
003,9561,-14.158583641052246
003,9609,-14.47968578338623
003,9657,-14.816225051879883
003,9705,-15.166398048400879
003,9753,-15.508350372314453
003,9801,-15.839033126831055
003,9849,-16.234556198120117
003,9897,-16.59356117248535
003,9945,-16.887939453125
003,9993,-16.919347763061523
004,66,-2.2979519367218018
004,114,-3.117940902709961
004,176,-4.599281311035156
004,318,-5.137259006500244
004,446,-5.823558807373047
004,579,-6.014770030975342
004,754,-6.594355583190918
004,1029,-7.1629533767700195
004,1305,-7.645801067352295
004,1581,-7.917114734649658
004,1854,-8.08768367767334
004,2128,-8.257006645202637
004,2403,-8.438981056213379
004,2683,-8.835394859313965
004,2962,-9.222058296203613
004,3242,-9.531105041503906
004,3518,-9.614861488342285
004,3792,-9.648870468139648
004,4073,-9.938057899475098
004,4496,-7.177684783935547
004,4969,-6.857397556304932
004,5122,-5.4730916023254395
004,6564,12.960469245910645
004,7360,23.34943962097168
004,7965,34.302425384521484
004,8764,46.46017074584961
004,9488,54.728580474853516
005,84,4.299434661865234
005,262,-0.41419199109077454
005,521,-3.1566741466522217
005,788,-4.255790710449219
005,1375,5.301159381866455
005,2186,19.357133865356445
005,2951,27.684938430786133
005,3978,56.7015495300293
005,4694,57.74612808227539
005,5465,59.90330505371094
005,6324,63.58305740356445
005,7061,64.25203704833984
005,7805,64.93749237060547
005,8576,65.9138412475586
005,9361,67.05245971679688
005,10111,67.5276107788086
006,65,0.6127365231513977
006,153,-2.8597052097320557
006,338,-6.155535697937012
006,614,-7.5693840980529785
006,891,-8.688863754272461
006,1168,-9.465648651123047
006,1444,-9.81810474395752
006,1722,-10.258520126342773
006,1992,-10.05408763885498
006,2269,-10.165781021118164
006,2542,-10.084592819213867
006,2818,-10.174657821655273
006,3092,-10.225868225097656
006,3369,-10.328340530395508
006,3643,-10.306534767150879
006,3919,-10.412677764892578
006,4192,-10.393020629882812
006,4467,-10.409438133239746
006,4743,-10.478541374206543
006,5016,-10.42590045928955
006,5291,-10.466765403747559
006,5491,-10.550195693969727
006,5676,-8.665471076965332
006,6263,-5.834407329559326
006,6999,-2.064368486404419
006,7869,2.4874427318573
006,8704,6.574656963348389
006,9390,9.859869956970215
006,9984,12.918684959411621
007,75,3.0480175018310547
007,224,0.7278057336807251
007,400,8.271556854248047
007,579,15.263848304748535
007,962,35.417884826660156
007,1883,48.98269271850586
007,2764,57.145538330078125
007,3572,61.0179328918457
007,4458,66.07971954345703
007,5242,67.7857666015625
007,5989,68.34407043457031
007,6758,69.23517608642578
007,7567,70.74134826660156
007,8258,70.01924896240234
007,8954,69.49112701416016
007,9758,74.2745361328125
008,81,-3.0694613456726074
008,221,-8.18363094329834
008,473,-8.790426254272461
008,741,-9.0385160446167
008,1016,-8.60831069946289
008,1281,-8.936140060424805
008,2100,18.337871551513672
008,2856,25.498287200927734
008,3558,29.656314849853516
008,4399,36.38357925415039
008,5214,41.20671463012695
008,5946,43.595619201660156
008,6744,46.81221389770508
008,7580,50.273372650146484
008,8461,53.9666862487793
008,9218,55.352394104003906
008,9923,55.8746337890625
009,68,0.7428985238075256
009,273,2.07055926322937
009,422,1.1350436210632324
009,511,-2.143198013305664
009,660,-5.55560827255249
009,745,-6.525876045227051
009,831,-7.249067306518555
009,909,-7.639039039611816
009,1168,-4.283528804779053
009,1862,5.088739395141602
009,2604,26.78256607055664
009,3348,39.89676284790039
009,3809,53.79673767089844
009,4344,67.57884216308594
009,4851,78.99623107910156
009,5331,88.38521575927734
009,5759,92.73219299316406
009,6015,89.74205780029297
009,6446,94.27806854248047
009,7007,101.97107696533203
009,7668,110.4569091796875
009,8229,117.16053771972656
009,9014,125.9713134765625
009,9657,132.76736450195312
010,114,5.040088653564453
010,177,-1.9407895803451538
010,305,-5.324397563934326
010,439,-6.632669448852539
010,703,-7.02290153503418
010,968,-7.419780731201172
010,1236,-7.610173225402832
010,2022,4.705863952636719
010,2760,12.145608901977539
010,3551,19.42035484313965
010,4381,26.170913696289062
010,5122,30.00269317626953
010,5845,32.92123031616211
010,6572,35.48088073730469
010,7372,38.935848236083984
010,8108,40.968963623046875
010,9025,45.31636428833008
010,9751,46.5986442565918
011,10344,137.02928161621094
011,10981,139.00491333007812
011,11859,143.31907653808594
011,12599,146.26251220703125
011,13342,149.6627960205078
011,14067,153.16273498535156
011,14501,155.43734741210938
011,15431,163.92604064941406
011,16287,170.70675659179688
011,17004,173.4500274658203
011,17588,172.7963104248047
011,18218,166.46258544921875
011,19006,164.12559509277344
011,19765,161.61428833007812
012,10358,137.15902709960938
012,11112,142.6658172607422
012,11882,145.6919708251953
012,12492,148.6214599609375
012,12657,148.73080444335938
012,13175,154.88150024414062
012,13847,157.4732666015625
012,14579,162.65975952148438
012,15995,178.1114044189453
012,16720,183.07183837890625
012,16949,180.25326538085938
012,17035,170.5030517578125
012,17150,163.4694366455078
012,17793,160.29600524902344
012,18494,154.81234741210938
012,19278,151.908203125
012,19938,145.72549438476562
013,10327,136.87026977539062
013,11037,138.68975830078125
013,11862,142.24285888671875
013,12609,145.21119689941406
013,13353,148.61741638183594
013,14225,153.55841064453125
013,14689,155.73733520507812
013,15178,158.56304931640625
013,16131,166.3135528564453
013,16907,168.39926147460938
013,17623,167.5123748779297
013,18307,161.00498962402344
013,19125,157.01109313964844
013,19933,151.46884155273438
014,10313,136.7280731201172
014,10960,138.78477478027344
