run,step,value
001,147,51.62578582763672
001,235,45.078147888183594
001,324,43.05082702636719
001,413,42.05652618408203
001,503,41.52911376953125
001,593,41.19384002685547
001,683,40.92422103881836
001,773,40.74366760253906
001,863,40.5995979309082
001,951,40.41643524169922
002,78,13.353534698486328
002,159,15.061360359191895
002,247,22.862327575683594
002,336,26.87190055847168
002,423,29.150901794433594
002,513,30.868709564208984
002,603,32.089080810546875
002,691,32.899539947509766
002,782,33.68330001831055
002,871,34.22810745239258
002,962,34.72198486328125
003,71,18.173433303833008
003,169,15.924088478088379
003,209,12.4409761428833
003,249,10.70455551147461
003,289,9.6875
003,342,10.450791358947754
003,430,14.494780540466309
003,519,17.551481246948242
003,607,19.881542205810547
003,703,22.03914451599121
004,93,10.82750415802002
004,133,6.642958164215088
004,169,4.619400501251221
004,205,3.6211049556732178
004,241,3.0475285053253174
004,277,2.662867307662964
004,313,2.3773932456970215
004,349,2.1566789150238037
004,393,1.9447096586227417
004,465,1.6434582471847534
004,537,1.3707530498504639
004,609,1.1494985818862915
004,699,4.092109680175781
004,790,6.63681173324585
004,879,8.798704147338867
004,967,10.6609468460083
005,65,11.914934158325195
005,159,18.42240333557129
005,287,31.630212783813477
005,376,33.44593048095703
005,470,35.09126663208008
005,589,38.146400451660156
005,772,44.88997268676758
005,989,52.28286361694336
006,93,24.703405380249023
006,157,15.252336502075195
006,188,11.58437728881836
006,228,10.041263580322266
006,268,9.11865234375
006,308,8.499382019042969
006,348,8.066225051879883
006,388,7.763680934906006
006,428,7.512048721313477
006,468,7.304067134857178
006,508,7.139092445373535
006,548,7.0034966468811035
006,588,6.896968841552734
006,628,6.8003435134887695
006,668,6.709990501403809
006,708,6.63470983505249
006,748,6.56395149230957
006,788,6.5005202293396
006,828,6.451876640319824
006,868,6.4041948318481445
006,908,6.359954357147217
006,948,6.322546005249023
006,988,6.286309242248535
007,83,13.677608489990234
007,127,10.534701347351074
007,192,7.025050640106201
007,263,5.015440464019775
007,335,3.7709362506866455
007,407,2.945099115371704
007,506,5.000962734222412
007,598,9.382704734802246
007,688,12.720603942871094
007,778,15.387096405029297
007,869,17.58957862854004
007,958,19.390018463134766
008,124,17.224090576171875
008,196,8.038381576538086
008,268,4.987316131591797
008,340,3.4132864475250244
008,412,2.5417609214782715
008,484,1.8983691930770874
008,556,1.4618741273880005
008,628,1.1380975246429443
008,700,0.8611231446266174
008,772,0.6645018458366394
008,845,0.49030157923698425
008,917,0.36089569330215454
008,989,0.2551082670688629
009,153,38.05655288696289
009,181,21.93383026123047
009,209,16.588848114013672
009,237,13.90088176727295
009,265,12.301801681518555
009,293,11.221996307373047
009,321,10.458680152893066
009,349,9.882447242736816
009,377,9.432093620300293
009,405,9.076117515563965
009,433,8.788630485534668
009,461,8.542435646057129
009,489,8.343037605285645
009,517,8.162860870361328
009,545,8.006759643554688
009,573,7.876191139221191
009,601,7.7585530281066895
009,629,7.655322551727295
009,657,7.560420513153076
009,685,7.471901893615723
009,713,7.395326614379883
009,741,7.326902866363525
009,769,7.262593746185303
009,797,7.206482887268066
009,825,7.154142379760742
009,853,5.8677520751953125
009,881,5.871657371520996
009,909,5.867583274841309
009,937,5.868012428283691
009,965,5.8669047355651855
009,993,5.869775772094727
010,66,11.430089950561523
010,124,9.887059211730957
010,148,7.266050815582275
010,172,5.924840450286865
010,197,5.096009731292725
010,232,4.376693248748779
010,268,3.8609931468963623
010,304,3.4567785263061523
010,374,2.958789348602295
010,454,4.563196659088135
010,544,7.733946323394775
010,633,10.341856002807617
010,721,12.49445915222168
010,810,14.385042190551758
010,899,16.02539825439453
010,990,17.516874313354492
011,1172,55.68891525268555
011,1479,64.74409484863281
011,1652,64.94017028808594
011,1946,69.1260986328125
012,1155,54.89599609375
012,1259,53.98731231689453
012,1383,54.016639709472656
012,1562,56.15414047241211
012,1703,56.298519134521484
012,1803,55.40365982055664
012,1910,54.83156204223633
013,1146,54.599613189697266
013,1321,56.877586364746094
013,1605,63.78293228149414
013,1887,69.96637725830078
014,1134,53.75318145751953
014,1370,59.82563018798828
014,1675,67.62773895263672
014,1909,70.85404968261719
015,1161,55.201202392578125
015,1461,63.84928512573242
015,1639,65.12976837158203
015,1796,65.35807037353516
015,2035,68.50627899169922
016,1109,52.21507263183594
016,1210,51.07973861694336
016,1313,50.301910400390625
016,1419,49.71901321411133
016,1557,50.40171813964844
016,1704,51.274383544921875
016,1849,51.993408203125
017,1114,52.63290023803711
017,1317,56.631614685058594
017,1607,63.95981979370117
017,1716,62.3848762512207
017,1821,60.881710052490234
017,1925,59.5887565612793
017,2029,58.46812057495117
018,1081,50.96467971801758
018,1170,49.76646423339844
018,1260,48.8216438293457
018,1350,48.034629821777344
018,1440,47.3770866394043
018,1530,46.81161880493164
018,1620,46.31632614135742
018,1708,45.84635543823242
018,1798,45.473323822021484
018,1888,45.14398193359375
018,1978,44.844303131103516
019,1169,55.86778259277344
019,1458,64.31978607177734
019,1675,67.4587173461914
019,1953,74.3248291015625
020,1103,51.971195220947266
020,1205,50.924461364746094
020,1310,50.20878219604492
020,1414,49.607242584228516
020,1591,51.91347122192383
020,1896,58.758914947509766
021,2106,74.41682434082031
021,2208,72.30762481689453
021,2365,71.68988800048828
021,2455,69.6681137084961
021,2593,68.62444305419922
021,2689,67.14765167236328
021,2787,65.8621826171875
021,2877,64.54925537109375
021,2966,63.335147857666016
021,3110,63.13530731201172
022,2106,74.41568756103516
022,2218,72.45626831054688
022,2262,68.10368347167969
022,2313,64.47920989990234
022,2367,61.36856460571289
022,2457,59.544281005859375
022,2578,58.58113479614258
022,2809,60.296630859375
022,3171,65.14405059814453
023,2106,74.42372131347656
023,2195,71.87357330322266
023,2283,69.6334228515625
023,2373,67.7340316772461
023,2460,65.98921966552734
023,2548,64.43609619140625
023,2637,63.078731536865234
023,2724,61.81011199951172
023,2814,60.73894500732422
023,2903,59.74369812011719
023,2988,58.7463264465332
023,3075,57.87328338623047
024,2106,74.41581726074219
024,2302,76.153564453125
024,2384,73.10942840576172
024,2540,73.21868896484375
024,2693,73.2191162109375
024,3015,78.06172943115234
025,2106,74.4231948852539
025,2198,71.98490905761719
025,2287,69.78883361816406
025,2375,67.83975219726562
025,2499,67.07479095458984
025,2591,65.58866882324219
025,2680,64.186279296875
025,2777,63.096309661865234
025,2877,62.179195404052734
025,2970,61.21435546875
025,3060,60.25386428833008
026,2106,74.41826629638672
026,2198,71.97777557373047
026,2287,69.76535034179688
026,2374,67.76322937011719
026,2460,65.96261596679688
026,2548,64.43394470214844
026,2637,63.0838508605957
026,2727,61.885040283203125
026,2817,60.798484802246094
026,3118,64.70987701416016
027,2106,74.42082214355469
027,2213,72.47013092041016
027,2312,70.50647735595703
027,2423,69.15988159179688
027,2546,68.3392333984375
027,2760,70.18541717529297
027,2986,72.32742309570312
028,2107,74.45380401611328
028,2321,76.73098754882812
028,2487,76.8037109375
028,2849,83.17597198486328
029,2106,74.41183471679688
029,2208,72.32022857666016
029,2352,71.84686279296875
029,2498,71.46764373779297
029,2653,71.39043426513672
029,2846,72.3216323852539
029,3112,75.20247650146484
030,2106,74.42251586914062
030,2185,71.45642852783203
030,2272,69.23065948486328
030,2359,67.27782440185547
030,2622,70.7946548461914
030,2964,76.32411193847656
031,3217,88.95068359375
031,3584,94.03160858154297
031,3947,98.501953125
032,3219,89.00785827636719
032,3446,89.8547592163086
032,3709,91.68608093261719
032,3990,93.9975357055664
033,3219,88.99828338623047
033,3581,94.02764129638672
033,3947,98.53427124023438
034,3217,88.95684051513672
034,3578,93.83370971679688
034,3928,97.86974334716797
035,3220,89.03655242919922
035,3555,93.16790008544922
035,3835,95.22276306152344
