run,step,value
001,67,2.1768407821655273
001,280,6.536047458648682
001,670,7.174646377563477
002,88,4.263789653778076
002,145,-4.449915409088135
002,367,0.48361650109291077
002,607,-2.0618858337402344
002,875,-3.0647242069244385
003,89,10.271533012390137
003,178,5.382083415985107
003,325,5.289662837982178
003,493,4.582457065582275
003,743,2.2010154724121094
004,72,1.7579587697982788
004,395,-18.475910186767578
004,669,-15.601733207702637
004,939,-14.133772850036621
005,49,0.21572375297546387
005,92,-0.338162362575531
005,136,-4.269174575805664
005,162,-4.7658185958862305
005,215,-4.017757415771484
005,289,-2.9956886768341064
005,607,9.921836853027344
006,88,2.1939196586608887
006,302,-2.3367745876312256
006,580,-6.920393943786621
006,861,-8.101579666137695
007,87,3.789315938949585
007,660,38.92001724243164
008,74,1.8744640350341797
008,152,-2.960575819015503
008,235,-7.662649154663086
008,328,-10.124980926513672
008,423,-11.491339683532715
008,516,-12.458927154541016
008,610,-13.174219131469727
008,888,-13.208968162536621
009,49,-2.5770440101623535
009,181,-0.7509850263595581
009,458,-2.828153133392334
009,735,-3.7569005489349365
009,1013,-5.296084880828857
010,76,0.10316649824380875
010,319,4.045035362243652
010,801,11.81490421295166
011,1387,48.85659408569336
011,2140,55.41523361206055
012,1463,55.019752502441406
012,2190,64.8563461303711
013,1387,48.861812591552734
013,2144,55.73854446411133
014,1446,53.58545684814453
015,1381,48.325477600097656
015,2128,54.769107818603516
016,1376,47.922691345214844
017,1501,58.03571319580078
018,1563,63.233455657958984
019,1411,50.767581939697266
019,2178,57.672847747802734
020,1565,83.1263427734375
021,2538,109.68555450439453
021,2746,87.16065216064453
021,3015,71.12771606445312
022,2306,80.46656036376953
022,3150,83.8796615600586
023,2256,77.52739715576172
023,3068,79.9358901977539
024,2249,76.9906997680664
024,3023,78.07447814941406
025,2252,77.296630859375
025,3063,79.63258361816406
026,2320,81.35867309570312
026,3112,81.80973815917969
027,2297,79.87110137939453
027,3174,84.95649719238281
028,2260,77.66680145263672
028,2971,75.31873321533203
029,2291,79.56861114501953
029,3071,80.00762176513672
030,2269,78.2207260131836
030,2984,75.74288940429688
031,4070,89.09638977050781
032,4010,86.78719329833984
033,4031,87.54195404052734
034,3983,85.61356353759766
035,3969,85.00003814697266
036,4013,86.9140853881836
037,4094,90.25564575195312
038,3889,81.85269927978516
039,3944,84.11378479003906
040,4098,100.14427947998047
041,4975,100.98085021972656
042,4917,98.85379791259766
043,4844,96.44610595703125
044,4852,96.64672088623047
045,4877,97.49310302734375
046,4797,94.80801391601562
047,4921,99.0637435913086
048,4816,95.41240692138672
049,4893,98.11676788330078
050,4928,99.28807067871094
051,5773,99.1373291015625
052,5729,97.80962371826172
052,6528,103.15898895263672
053,5753,98.45912170410156
053,6530,96.51734161376953
054,5723,97.5977783203125
054,6495,95.6360092163086
055,5795,99.75601959228516
056,5760,98.69928741455078
057,5734,97.93858337402344
058,5733,97.93997955322266
058,6537,96.82770538330078
059,5805,100.09856414794922
059,6541,96.86030578613281
060,5769,98.96307373046875
060,6556,97.18964385986328
061,6562,104.01026153564453
061,7374,102.53325653076172
062,6660,106.69767761230469
062,7409,103.50759887695312
063,6557,103.9194564819336
063,7322,101.28785705566406
064,6547,103.63243103027344
064,7279,100.22775268554688
065,6613,105.36234283447266
065,7373,102.44538116455078
066,6556,103.86088562011719
066,7409,103.35742950439453
067,6577,104.41912078857422
067,7412,103.49957275390625
068,6558,103.90530395507812
068,7335,101.6159439086914
069,6597,104.9544677734375
069,7340,101.6650161743164
070,6599,104.98961639404297
070,7441,110.15379333496094
071,8205,107.18678283691406
072,8197,107.05640411376953
073,8241,108.0280532836914
074,8282,108.93438720703125
075,8307,109.37267303466797
076,8150,106.05916595458984
077,8185,106.7305679321289
078,8229,107.78421783447266
079,8183,106.73222351074219
080,8230,107.76331329345703
081,9171,113.73606872558594
082,9180,113.95257568359375
083,9135,113.05571746826172
084,9142,113.14077758789062
085,9214,114.61656188964844
086,9215,114.68484497070312
087,9213,114.60549926757812
088,9262,115.59021759033203
089,9266,115.640380859375
090,9168,113.66536712646484
091,10078,113.58747100830078
091,10839,110.99003601074219
092,10079,113.63117218017578
093,10057,113.21001434326172
094,10064,113.33767700195312
094,10866,111.42475891113281
095,10099,113.98059844970703
096,10080,113.61287689208984
097,10120,114.40931701660156
098,10084,113.6827163696289
098,10840,110.97441101074219
099,10108,114.16453552246094
099,10850,111.19699096679688
1000,109494,140.01614379882812
1000,110268,139.80677795410156
100,10076,113.53203582763672
101,11058,114.84886169433594
101,12019,119.5427474975586
102,11179,116.96578216552734
102,11925,114.08092498779297
103,11067,114.99808502197266
103,11786,111.81311798095703
104,11088,115.35688781738281
104,11790,111.8749008178711
105,11067,115.00479888916016
105,11996,115.2334976196289
106,11057,114.83180236816406
106,11825,116.41050720214844
107,11079,115.19416046142578
107,11786,111.76622009277344
108,11066,114.9698257446289
108,11865,113.02201080322266
109,11111,115.76850891113281
109,11830,112.52372741699219
110,11105,115.66648864746094
110,11949,114.46654510498047
111,12853,117.99788665771484
112,12794,117.10810089111328
113,12895,118.63655853271484
114,12710,115.83341217041016
115,13046,124.66170501708984
116,12746,116.37145233154297
117,12798,117.21288299560547
