run,step,value
001,80,-0.0022777500562369823
001,266,-0.864276647567749
001,424,0.21631091833114624
001,603,1.1493319272994995
001,872,-0.7128749489784241
001,1259,1.3998438119888306
001,2036,12.798208236694336
001,2868,23.007997512817383
001,3659,29.8806095123291
001,4503,36.575199127197266
001,5332,41.65325164794922
001,6062,44.011505126953125
001,6852,47.10841751098633
001,7891,58.37242889404297
001,8678,60.02556228637695
001,9600,63.49309158325195
002,76,1.5535345077514648
002,130,-0.3116084933280945
002,154,-1.9241856336593628
002,246,-2.4948158264160156
002,447,-3.763608932495117
002,714,-4.557113170623779
002,982,-5.066344261169434
002,1250,-5.416408061981201
002,1992,3.3104143142700195
002,2729,10.105093002319336
002,3536,17.16352653503418
002,4263,21.539522171020508
002,5037,26.033733367919922
002,5785,29.46845817565918
002,6515,32.14482116699219
002,7328,35.781585693359375
002,8090,38.23789978027344
002,8872,40.676979064941406
002,9675,43.13588333129883
003,103,5.3563737869262695
003,505,19.963397979736328
003,1239,57.10549545288086
003,1886,44.128944396972656
003,2913,77.11981964111328
003,3828,83.21984100341797
003,4477,116.69928741455078
003,5166,136.4136199951172
003,5886,162.8517303466797
003,6774,191.13873291015625
003,7547,197.95303344726562
003,8207,211.7663116455078
003,8773,211.37588500976562
003,9770,219.1387176513672
004,72,0.7593629956245422
004,202,1.3560991287231445
004,478,-2.919992446899414
004,760,-5.650363445281982
004,1142,-2.9078824520111084
004,1928,11.391348838806152
004,2737,22.37849235534668
004,3450,27.788105010986328
004,4261,34.60000991821289
004,5056,39.663578033447266
004,5450,37.306304931640625
004,5719,33.4879035949707
004,5987,30.262577056884766
004,6255,27.504467010498047
004,6521,25.05314064025879
004,6789,22.968448638916016
004,7057,21.156890869140625
004,7324,19.578737258911133
004,7592,18.11396598815918
004,7860,16.841163635253906
004,8127,15.614124298095703
004,8394,14.588531494140625
004,8661,13.5585355758667
004,8929,12.672494888305664
004,9197,11.837556838989258
004,9464,11.466257095336914
004,9731,11.082274436950684
004,9998,11.143791198730469
005,79,2.4120521545410156
005,457,15.4871244430542
005,724,7.4057698249816895
005,991,3.295375108718872
005,1260,0.992125928401947
005,1527,-0.6085249781608582
005,1795,-1.8309316635131836
005,2063,-2.7083072662353516
005,2331,-3.3268954753875732
