#{"t_start": 1654120981.2258282, "env_id": "Hopper-v3"}
r,l,t
28.444804,25,0.008723
16.584776,27,0.016751
17.105208,20,0.022602
14.545963,22,0.029139
18.603492,26,0.043056
5.044648,33,0.159809
39.877674,23,0.293379
40.016268,23,0.393011
40.284811,23,0.490545
38.766013,22,0.589858
40.42472,23,0.686293
39.981232,23,0.7836
38.738399,22,0.88356
36.775353,21,0.977265
38.831052,22,1.069207
40.124974,23,1.168426
38.604625,22,1.270802
40.282246,23,1.370706
40.159136,23,1.478033
40.162017,23,1.581924
40.320196,23,1.684376
38.683433,22,1.793435
38.401112,22,1.897789
39.124163,22,2.001724
39.858929,23,2.109586
40.379274,23,2.209848
38.609104,22,2.309284
171.170449,86,2.443438
102.918807,58,2.809008
156.562177,83,3.13114
40.617776,23,3.56689
38.508527,22,3.68353
38.86387,22,3.828064
38.406064,22,3.963536
38.784322,22,4.089018
38.396428,22,4.197371
38.680876,22,4.304024
40.414514,23,4.412146
38.024334,22,4.519889
40.154373,23,4.63011
38.708715,22,4.733624
36.806339,21,4.832387
38.614432,22,4.934801
38.781778,22,5.039488
39.773339,23,5.142321
39.903989,23,5.248215
39.87107,23,5.351095
38.454973,22,5.45586
38.471565,22,5.561462
39.838041,23,5.661158
38.108132,22,5.767147
38.482785,22,5.863516
39.848753,23,5.959419
37.948359,22,6.060078
38.545427,22,6.157917
38.214432,22,6.259767
40.048295,23,6.358889
38.260107,22,6.466876
39.665845,23,6.56352
38.53127,22,6.665543
38.309957,22,6.768861
40.109442,23,6.868176
38.614679,22,6.969032
38.837524,22,7.064697
38.460969,22,7.184634
38.36238,22,7.284688
38.145071,22,7.384877
39.880853,23,7.495798
38.13766,22,7.596779
38.385055,22,7.692132
40.304387,23,7.787851
39.843872,23,7.886402
38.590274,22,7.987875
38.397174,22,8.087688
39.897773,23,8.189012
38.61584,22,8.286532
38.329512,22,8.38308
49.123989,28,8.484282
117.076988,66,8.626395
161.160243,85,8.927176
154.190006,81,9.314553
107.116721,61,9.680567
164.936084,86,9.969799
162.567774,85,10.347692
160.570253,84,10.755165
161.586911,85,11.118591
164.675617,86,11.482579
161.045129,85,11.858769
158.568126,84,12.231085
166.493961,86,12.600829
165.433742,86,12.970106
159.298667,83,13.336241
159.175797,83,13.694955
165.307167,86,14.059932
165.36438,86,14.437777
163.574925,85,14.809294
166.116465,85,15.180799
163.064047,85,15.539463
167.989634,85,15.898851
163.643993,85,16.257481
167.388224,86,16.620285
