#{"t_start": 1654141916.185802, "env_id": "Walker2d-v3"}
r,l,t
298.102116,169,0.098507
339.817433,210,0.220568
256.525299,139,0.300716
325.007135,193,0.411747
305.821559,178,0.515405
308.403482,182,0.619804
264.481202,145,0.703351
325.962337,201,0.819973
250.298804,140,0.900832
281.736907,159,0.993606
239.912128,126,1.066799
374.231943,252,1.212226
272.563097,152,1.300156
265.212266,148,1.386196
305.733381,171,1.485272
203.904989,101,1.543617
311.987166,193,1.654336
306.16673,180,1.758237
302.097996,172,1.858289
287.625873,167,1.955338
337.288253,234,2.089058
273.176417,159,2.18008
180.40243,316,2.36097
276.369847,147,2.446161
345.884665,209,2.566919
454.39155,322,2.751007
265.677269,147,2.835851
84.169383,184,2.942241
373.655527,254,3.088195
350.288347,206,3.207029
327.519469,196,3.320161
319.194315,211,3.442011
377.417154,219,3.567526
264.220596,165,3.66175
296.223829,175,3.76232
601.460091,453,4.024534
344.452807,218,4.14889
334.909479,233,4.280149
317.116823,195,4.397511
330.778838,205,4.516669
307.367209,188,4.628649
308.762746,186,4.74361
283.773528,169,4.846187
309.021141,177,4.962393
288.019333,165,5.069501
307.24096,180,5.178619
63.881555,184,5.296454
236.658988,130,5.371157
340.036823,224,5.502456
311.23643,190,5.613294
315.292533,189,5.724417
323.556483,192,5.837308
370.678436,252,5.983674
349.176633,225,6.115376
218.038361,114,6.180845
316.169625,194,6.293466
320.279367,221,6.421406
284.796008,190,6.532239
324.138842,204,6.65081
247.808693,131,6.727164
335.231054,213,6.852002
293.642942,182,6.959409
271.312779,144,7.043522
313.010952,187,7.152168
460.853457,326,7.340999
242.733954,130,7.41665
311.848219,185,7.524321
288.871913,162,7.618082
407.093905,258,7.767104
324.422551,193,7.878539
447.530797,297,8.051466
248.828941,132,8.127586
547.265668,462,8.394623
280.500979,166,8.490624
365.086374,232,8.624233
322.552941,192,8.736088
422.103547,305,8.912078
354.346409,230,9.04538
243.220496,140,9.12572
352.669368,227,9.258631
246.52305,151,9.345641
391.278429,250,9.490382
485.552393,361,9.699064
259.923402,148,9.78414
407.909878,290,9.950268
428.118374,294,10.118047
403.042782,250,10.261732
306.734779,194,10.373724
375.984311,252,10.520674
448.804602,313,10.701469
585.923886,488,10.981569
264.070131,148,11.066247
410.586845,281,11.2283
333.637947,215,11.351649
276.514867,164,11.445444
96.692264,229,11.577537
318.631659,197,11.690194
290.205977,163,11.783154
335.094429,205,11.900757
292.108454,179,12.003132
449.893871,306,12.196372
391.184385,263,12.348245
315.009968,182,12.453585
340.13717,231,12.586439
464.723145,338,12.78186
288.855004,163,12.877029
326.971078,204,12.994637
325.465293,197,13.108137
303.230969,180,13.212317
468.89918,339,13.407368
