Wall time,Step,Value
1652952874.4165618,207,-1.4923686981201172
1652952875.1321063,296,-2.0986313819885254
1652952875.7496037,384,-2.5170161724090576
1652952876.111067,421,-2.8348546028137207
1652952876.3242192,453,-2.894073009490967
1652952876.4936514,481,-2.908743381500244
1652952876.6717355,509,-2.981839656829834
1652952876.838309,537,-2.9024860858917236
1652952877.0192857,568,-2.858943462371826
1652952877.236385,604,-3.0380375385284424
1652952877.4602733,643,-3.026045083999634
1652952877.742838,694,-3.1793782711029053
1652952878.3074617,794,-3.383714199066162
1652952878.9464083,896,-3.8898751735687256
1652952879.5273721,987,-4.422176837921143
1652952880.16639,1090,-4.709044456481934
1652952880.7620044,1185,-5.091701030731201
1652952881.7677581,1374,-5.658811092376709
1652952883.0677643,1580,-6.323426723480225
1652952884.2985845,1789,-6.976760387420654
1652952885.7358427,2037,-7.7785139083862305
1652952887.3998551,2297,-8.672775268554688
1652952888.7569,2495,-9.792168617248535
1652952889.381199,2587,-10.078415870666504
1652952889.953208,2681,-10.58665943145752
1652952890.5308537,2777,-11.050058364868164
1652952891.1458628,2878,-11.272957801818848
1652952891.9268062,3007,-11.903470039367676
1652952892.955474,3177,-12.640105247497559
1652952894.125139,3353,-13.406393051147461
1652952895.2372358,3532,-14.188444137573242
1652952896.4017625,3745,-15.070998191833496
1652952898.0268192,3970,-16.031097412109375
1652952900.1732183,4354,-17.433013916015625
1652952901.7987924,4621,-18.540712356567383
1652952903.8624985,5015,-19.91289710998535
1652952906.7565792,5485,-21.946571350097656
1652952909.647432,5873,-24.039453506469727
1652952912.6013324,6387,-26.242570877075195
1652952915.5424325,6901,-28.42527198791504
1652952918.6277337,7381,-30.948701858520508
1652952921.610707,7887,-33.38975143432617
1652952924.5255687,8339,-35.77117156982422
1652952927.3800132,8829,-37.74422073364258
1652952930.367986,9287,-40.30204772949219
1652952933.0783155,9685,-42.36836624145508
1652952935.3944027,10118,-43.50471115112305
1652952938.1723566,10561,-45.49207305908203
1652952940.833814,10981,-46.920352935791016
1652952943.4647083,11420,-48.47880172729492
1652952946.1821713,11844,-50.48241424560547
1652952948.9418957,12290,-51.37713623046875
1652952951.324378,12673,-52.93960189819336
1652952953.7698102,13056,-54.20362854003906
1652952956.5660338,13447,-55.510047912597656
1652952958.8564048,13890,-56.78096389770508
1652952960.8729627,14124,-58.43826675415039
1652952962.5537686,14457,-59.00542068481445
1652952964.2727253,14668,-59.897403717041016
1652952966.0393329,15000,-61.050392150878906
1652952968.414985,15387,-61.99268341064453
1652952971.3705432,15858,-63.246463775634766
1652952974.360591,16339,-64.6081314086914
1652952977.5448792,16859,-67.11466217041016
1652952979.3343859,17032,-67.95845031738281
1652952979.6145375,17078,-68.57148742675781
1652952979.9189065,17127,-68.57855224609375
1652952980.2326655,17175,-70.06230926513672
1652952980.5228493,17223,-68.24193572998047
1652952980.8255231,17270,-68.67973327636719
1652952981.125134,17317,-67.8753433227539
1652952981.4175205,17364,-70.24494934082031
1652952981.707779,17409,-68.95423889160156
1652952982.008294,17458,-68.93141174316406
1652952982.28862,17503,-70.86181640625
1652952982.5988407,17551,-68.16548156738281
1652952982.9025404,17599,-71.08441162109375
1652952984.0935361,17908,-70.12611389160156
1652952987.4343896,18449,-71.3365249633789
1652952991.024775,19036,-72.60897827148438
1652952995.2595637,19662,-74.29354095458984
1652952997.2548852,20019,-74.51576232910156
1652952999.4097276,20335,-75.48351287841797
1652953002.2308357,20903,-75.71830749511719
1652953005.971398,21461,-76.97257995605469
1652953009.2442353,21997,-78.3216552734375
1652953012.4903743,22524,-79.34458923339844
1652953016.0864658,23112,-80.54244232177734
1652953019.1295063,23586,-82.3946762084961
1652953022.6059783,24179,-83.34178924560547
1652953024.5791473,24484,-83.07401275634766
1652953027.6185896,24884,-84.35608673095703
1652953028.740425,25063,-84.84022521972656
1652953030.7435575,25487,-85.638916015625
1652953032.5663884,25786,-85.91252136230469
1652953034.4607089,26098,-86.67371368408203
1652953037.7225175,26628,-87.83080291748047
1652953038.919433,26815,-88.25534057617188
1652953041.4947035,27136,-89.10320281982422
1652953043.5074193,27458,-89.9062728881836
1652953046.1773074,27877,-89.79046630859375
1652953046.7182312,27962,-88.55681610107422
1652953048.1258056,28288,-90.55299377441406
1652953051.8500762,28920,-92.43553924560547
1652953057.9773061,29900,-93.0538558959961
1652953062.2828074,30491,-94.4856185913086
1652953065.2124283,31001,-95.44102478027344
1652953069.1275625,31660,-95.93514251708984
1652953074.3923566,32536,-97.01792907714844
1652953079.2921228,33356,-98.18985748291016
1652953084.247335,34159,-99.91241455078125
1652953089.6168816,34982,-101.62895965576172
1652953094.8516874,35815,-102.55679321289062
1652953099.774595,36595,-104.1033706665039
1652953105.0606992,37420,-106.32483673095703
1652953111.9246056,38465,-107.39225006103516
1652953116.3060467,39150,-107.74006652832031
1652953120.2342567,39816,-108.49189758300781
1652953125.454677,40652,-109.45482635498047
1652953130.6069133,41487,-110.36966705322266
1652953135.9209025,42403,-112.01737213134766
1652953141.1181364,43165,-113.05583953857422
1652953146.0460942,43964,-114.55447387695312
1652953151.34897,44804,-115.88551330566406
1652953156.123948,45493,-116.31708526611328
1652953160.7666106,46214,-117.74601745605469
1652953164.999282,46886,-117.75460815429688
1652953169.218286,47534,-118.98612213134766
1652953174.625788,48338,-120.48998260498047
1652953179.2942984,49073,-121.00463104248047
1652953183.922416,49695,-120.56710052490234
1652953188.6379786,50443,-121.68327331542969
1652953192.145437,50905,-122.4892349243164
1652953195.707445,51461,-123.04659271240234
1652953199.592621,52021,-125.20506286621094
1652953203.2811708,52567,-125.93879699707031
1652953207.45591,53158,-125.93269348144531
1652953211.5883405,53730,-127.03636932373047
1652953215.5158472,54295,-128.19068908691406
1652953219.7177691,54883,-127.89600372314453
1652953224.1846533,55481,-128.86087036132812
1652953228.0203526,56033,-129.41131591796875
1652953232.590755,56689,-130.06541442871094
1652953237.044525,57292,-131.01490783691406
1652953240.739669,57787,-131.47361755371094
1652953244.6664693,58392,-132.00845336914062
1652953249.1908429,59011,-132.3136444091797
1652953253.6867282,59643,-131.6792755126953
1652953258.9123902,60364,-131.53443908691406
1652953265.0012963,61247,-132.26113891601562
1652953272.2059066,62307,-133.26498413085938
1652953278.960753,63307,-133.26641845703125
1652953285.983893,64305,-134.20545959472656
1652953291.8821054,64790,-135.3964080810547
1652953295.8624392,65464,-134.2970733642578
1652953301.6946259,66151,-135.26170349121094
1652953315.229006,67797,-136.9652862548828
1652953319.8455958,68354,-136.9235382080078
1652953324.659666,68942,-136.9658203125
1652953330.162811,69660,-137.32955932617188
1652953337.1593928,70510,-138.1887664794922
1652953342.983161,71127,-138.40762329101562
1652953354.4550064,72486,-139.94212341308594
1652953360.1828115,73102,-140.61183166503906
1652953368.8948781,74018,-140.63877868652344
1652953374.4773564,74769,-142.17575073242188
1652953383.1598558,75538,-143.31288146972656
1652953388.5308216,76188,-143.1641845703125
1652953397.6653404,77069,-144.49063110351562
1652953403.8607426,77716,-145.01353454589844
1652953409.4832942,78341,-144.22840881347656
1652953427.715915,80493,-147.6842803955078
1652953437.5622683,81437,-149.44952392578125
1652953449.621814,82804,-152.18919372558594
1652953460.098685,84541,-153.72657775878906
1652953484.0820577,87282,-157.5661163330078
1652953514.285139,89972,-162.22059631347656
1652953534.1535225,92764,-165.80441284179688
1652953559.5524504,94938,-168.8795166015625
1652953574.8119228,96499,-170.59494018554688
1652953589.6280532,98028,-172.38162231445312
1652953598.0915797,99076,-173.51171875
