interaction,mean,upper,lower
1,44.341436261081114,147.70840076945285,-59.02552824729061
1001,11.830767493782814,31.76184998632197,-8.10031499875634
2001,23.480340042042133,44.03119780184247,2.9294822822418034
3001,39.03647755875067,56.680414939259364,21.39254017824197
4001,54.880589681216875,74.16269454006625,35.598484822367496
5001,71.39676273317086,98.3663949734312,44.427130492910514
6001,87.51504449436712,124.35940972082673,50.6706792679075
7001,103.05023618614025,149.86281106285352,56.23766130942699
8001,117.99142790258539,175.3140888587027,60.66876694646808
9001,118.47017883786239,207.1529179678255,29.787439707899296
10001,125.28791687743235,231.61571973779837,18.960114017066317
11001,132.84675934076782,237.48395253984978,28.20956614168587
12001,137.02884630514717,237.66589692457308,36.39179568572125
13001,140.91083261612198,238.51431705167371,43.307348180570244
14001,146.8276472081513,242.78425147483685,50.87104294146573
15001,151.9630344623416,247.9639957596766,55.962073165006586
16001,156.9937059619446,254.18870955188922,59.79870237200001
17001,159.12371947365273,257.25305230851336,60.99438663879212
18001,163.0978582037718,264.30440265034474,61.89131375719889
19001,167.6360844205039,273.1588113349313,62.113357506076525
20001,252.31120194034747,252.58286660023182,252.03953728046312
21001,259.9100031501468,260.22611244144645,259.59389385884714
22001,266.88232518204524,267.58074280590614,266.18390755818433
23001,269.8672321171033,271.35455850871745,268.37990572548915
24001,271.4476126732317,274.41342528598807,268.4818000604753
25001,269.7103234878526,279.79334597012934,259.6273010055758
26001,270.03996548380667,282.18214602768165,257.8977849399317
27001,269.02417934058144,289.03249231743183,249.01586636373105
28001,266.957694225777,295.67640463040664,238.23898382114737
29001,260.55226149993257,283.92653607804976,237.1779869218154
30001,260.70333687137486,284.913427375944,236.49324636680572
31001,260.8100434318993,285.45216143730585,236.16792542649281
32001,259.93923217818514,284.80953229186485,235.06893206450542
33001,258.8938675655142,283.0202407241137,234.7674944069147
34001,258.3921403296582,281.69152808749215,235.09275257182432
35001,258.79346724474215,283.13721293230253,234.44972155718173
36001,260.7884324980963,280.9934677045071,240.5833972916855
37001,263.51595573819594,281.63405410179473,245.39785737459715
38001,263.69061468784855,280.8179258840719,246.56330349162525
39001,264.22832043726993,280.2028691741756,248.25377170036427
40001,279.03232069000796,296.4648798108342,261.59976156918174
41001,275.91233421147643,282.83858858924003,268.98607983371284
42001,274.3395377753018,291.98683515542666,256.6922403951769
43001,274.1172010239184,293.6149810566042,254.61942099123263
44001,273.81032821316523,295.94569437145685,251.67496205487365
45001,273.46589046322214,296.434518575731,250.4972623507133
46001,271.9780542295104,295.8832899320643,248.0728185269565
47001,271.07197452561496,293.47413371235257,248.66981533887733
48001,264.0641492448571,309.32468573923154,218.80361275048267
49001,260.5238670319419,324.57081101253186,196.47692305135195
50001,256.3817158490254,342.6057121677868,170.15771953026396
51001,255.3739829387163,340.6913773446213,170.0565885328113
52001,251.25814843458838,356.38169010052417,146.1346067686526
53001,248.19296365685932,377.8502491893511,118.53567812436756
54001,248.88401924427117,375.87842112949716,121.8896173590452
55001,249.6743485633273,366.5962402299615,132.7524568966931
56001,250.10085899118295,365.8968421737254,134.30487580864047
57001,251.16528300475858,358.30371248609856,144.0268535234186
58001,250.85960732468598,354.23194365921967,147.4872709901523
59001,252.26342350910136,347.168490568809,157.35835644939374
60001,293.3376665003965,296.86470416514084,289.81062883565215
61001,290.6392053094473,295.1185206208308,286.15988999806376
62001,289.646458149706,300.365268749845,278.92764754956704
63001,288.7671588527128,300.1947497338937,277.3395679715319
64001,288.70735578609276,302.5545672630401,274.8601443091454
65001,287.5584451018575,302.6526120362073,272.4642781675077
66001,286.0660809828144,300.46195848750904,271.6702034781198
67001,285.4234772863082,301.04788191279494,269.79907265982143
68001,283.1045598627554,299.6732792138229,266.5358405116879
69001,280.9598723720029,295.8578015544069,266.06194318959894
70001,279.699641064199,294.6169113614472,264.7823707669508
71001,279.96324404655127,296.1502827529475,263.77620534015506
72001,280.30273529899733,300.43163976668006,260.1738308313146
73001,282.97847843772246,306.1944048387577,259.7625520366872
74001,285.2714046343705,311.78740549885833,258.7554037698827
75001,287.1763279361012,317.36112563357483,256.99153023862755
76001,288.7724218927809,325.05359303891,252.49125074665187
77001,289.51212573279474,329.9843574571386,249.03989400845094
78001,290.49897946523765,334.500632105786,246.4973268246893
79001,292.72650567818397,338.13853779780425,247.3144735585637
80001,339.4557985545145,341.1159950936057,337.7956020154233
81001,338.1973726453064,339.1757007693591,337.21904452125375
82001,336.5894843699563,339.4767159765213,333.70225276339136
83001,336.8103218814882,341.70808015735764,331.9125636056188
84001,340.63546228413304,346.8982908812398,334.3726336870263
85001,346.8609733826087,358.68071047741665,335.0412362878007
86001,352.10085576855334,372.96179626338244,331.23991527372425
87001,355.51120398076415,386.6523478578997,324.3700601036286
88001,359.7991393624605,396.4267503501446,323.1715283747764
89001,364.88135483601064,410.82846275927005,318.93424691275123
90001,370.6555060156916,423.8992550122041,317.41175701917916
91001,375.61340622436154,434.47669891568734,316.75011353303574
92001,380.179853303369,443.8192986743706,316.5404079323674
93001,386.3382254748675,457.1250388415997,315.5514121081353
94001,393.34645273112034,468.23649962375936,318.4564058384813
95001,401.6830314929739,483.1305724396099,320.23549054633787
96001,409.9453916281644,495.35379630620747,324.5369869501213
97001,420.59735089787364,513.099407745063,328.0952940506843
98001,432.8112928947201,528.4348998284213,337.187685961019
99001,446.0974407856117,546.9542710470076,345.2406105242158
