interaction,mean,upper,lower
300,-1.235107968107413,-0.735154879009968,-1.7350610572048581
400,-1.387574855658762,-0.6779796034555177,-2.097170107862006
500,-1.5558842679602674,-0.6612759761346876,-2.450492559785847
600,-1.7246575098228996,-0.66929925709179,-2.780015762554009
700,-1.9105626076423925,-0.7379278472536686,-3.0831973680311164
800,-2.1364891940745094,-0.7927589597973614,-3.480219428351657
900,-2.408587392758391,-0.8591739628164741,-3.958000822700308
1000,-2.7402138348818914,-1.118276463818827,-4.362151205944956
1100,-3.009446131182473,-1.2867023800833808,-4.732189882281565
1200,-3.3788248665434204,-1.5760744084743743,-5.181575324612466
1300,-3.7323222556684237,-1.8402596508664761,-5.6243848604703714
1400,-4.093159587477667,-2.1503132788728863,-6.0360058960824485
1500,-4.455178251257008,-2.40479014413352,-6.505566358380497
1600,-4.77970155534546,-2.5818080577151035,-6.977595052975816
1700,-5.146353938029941,-2.8425958384777816,-7.450112037582101
1800,-5.553971125427204,-3.1295103383475653,-7.978431912506844
1900,-6.009765147174808,-3.72373682737005,-8.295793466979566
2000,-6.434420865197782,-4.399740805804579,-8.469100924590986
2100,-6.874240551412546,-4.958154796784898,-8.790326306040194
2200,-7.245602423562562,-5.341528053699405,-9.149676793425717
2300,-7.647046363907127,-5.784483422746418,-9.509609305067835
2400,-8.005388166365588,-6.136305437754286,-9.87447089497689
2500,-8.45826818400885,-6.679839504252182,-10.236696863765516
2600,-8.796064234714944,-6.877505641435928,-10.71462282799396
2700,-9.139713794038125,-7.109618394033019,-11.16980919404323
2800,-9.392039437740664,-7.146677022731973,-11.637401852749354
2900,-9.696482187054173,-7.40026897249142,-11.992695401616924
3000,-9.942377214018983,-7.417625300109556,-12.467129127928409
3100,-10.236876004065588,-7.4746275097255435,-12.999124498405632
3200,-10.531389022977551,-7.638005310065843,-13.42477273588926
3300,-10.825683663790711,-7.734541259304431,-13.91682606827699
3400,-11.202367064495618,-8.022459357613494,-14.382274771377743
3500,-11.35464779467745,-7.705438873831426,-15.003856715523472
3600,-11.727226621311516,-8.084514337006414,-15.369938905616618
3700,-11.988169864464528,-8.134697179306158,-15.841642549622897
3800,-12.283843059669698,-8.338071249878253,-16.229614869461145
3900,-12.47599922084513,-8.238139321525061,-16.7138591201652
4000,-12.779201448944331,-8.370961392976135,-17.187441504912528
4100,-12.988716730869433,-8.273920717223998,-17.703512744514867
4200,-13.360817541702517,-8.63936057582173,-18.082274507583303
4300,-13.797441493648808,-9.271802802502993,-18.323080184794623
4400,-14.241548908153794,-9.884828966625792,-18.598268849681794
4500,-14.665545603882762,-10.344906876498484,-18.98618433126704
4600,-15.074641718559405,-10.845736467305732,-19.303546969813077
