interaction,mean,upper,lower
1,25.86156379238007,51.113549583321415,0.6095780014387273
101,20.10714398876069,35.942619195565825,4.2716687819555546
201,14.684141183091123,35.94611595755787,-6.577833591375624
301,14.01637534964837,39.84704045101404,-11.814289751717297
401,13.92318881728014,42.0045120817916,-14.158134447231324
501,14.115532823338558,43.42201385057972,-15.190948203902604
601,14.712491007820097,44.8862330268116,-15.461251011171411
701,15.621886003984178,46.87421004486617,-15.630438036897813
801,16.722887443136518,48.478673522736116,-15.032898636463084
901,17.800722633539834,50.08263022735607,-14.481184960276401
1001,18.60914940092697,49.978563479167235,-12.760264677313291
1101,19.624780809133533,49.709174732821474,-10.459613114554408
1201,20.70027291446312,49.342237199499195,-7.941691370572954
1301,21.718892463844803,49.131756389806654,-5.693971462117048
1401,22.674470085924973,49.0360233018381,-3.6870831299881566
1501,23.59348874835677,49.08521038152017,-1.898232884806628
1601,24.5774847097196,49.074040989153524,0.08092843028567387
1701,25.626558034437,49.01608765697836,2.23702841189564
1801,26.722758318235446,49.027081977458856,4.418434659012036
1901,27.828563515382193,49.25300240326502,6.404124627499364
2001,29.065472837294312,49.99122654462174,8.139719129966885
2101,30.279535593561782,50.749437973277125,9.809633213846435
2201,31.538438732526522,51.66541160987751,11.411465855175532
2301,32.91950132040607,52.88428528684918,12.954717353962963
2401,34.206267511044565,53.94697885695521,14.465556165133915
2501,35.5019165938172,54.92532595609819,16.078507231536204
2601,36.814481852646225,55.990405240153834,17.638558465138615
2701,38.0754693062794,57.07277008435014,19.078168528208668
2801,39.18105624083545,58.01747335845977,20.34463912321114
2901,40.17803133939992,59.00269363209237,21.353369046707478
3001,41.16169576549779,60.15296662205152,22.17042490894406
3101,42.152751963571106,61.390289181905,22.915214745237215
3201,43.13169231645887,62.71663872988948,23.546745903028253
3301,44.1186363869298,64.19509905702834,24.042173716831254
3401,45.12270363650688,65.79900524656665,24.446402026447096
3501,46.0997386071644,67.43261195550237,24.766865258826424
3601,47.05652328416441,69.15815661279291,24.954889955535922
3701,47.82344495444199,70.7159770886221,24.930912820261877
3801,48.47778060383426,72.38012086339074,24.575440344277787
3901,49.063173238592285,74.40218652111275,23.72415995607182
4001,49.67641751750334,76.52426118841299,22.828573846593688
4101,50.27727461117145,78.6851069139324,21.869442308410502
4201,50.91209018791446,80.85278680303351,20.97139357279541
4301,51.54731974713371,83.05760655920496,20.03703293506247
4401,52.180903314842524,85.29236748090939,19.069439148775658
4501,52.8167148365848,87.44441293697051,18.189016736199093
4601,53.46607170934008,89.58548366242948,17.34665975625068
4701,54.116849061407514,91.75087085307536,16.482827269739673
4801,54.778162929520555,93.91766227154987,15.638663587491237
4901,55.46040518727316,96.08236782980076,14.838442544745561
5001,56.1353713590227,98.26285361711498,14.00788910093042
5101,56.823769667985786,100.48734802384195,13.16019131212962
5201,57.57698156627733,102.93887029490807,12.215092837646587
5301,58.346565239218855,105.39514859646005,11.297981881977663
5401,59.106009486580206,107.85661798274447,10.355400990415937
5501,59.886853641500785,110.39594952285599,9.377757760145585
5601,60.68106521947254,112.9724138096067,8.38971662933838
5701,61.46321735730369,115.55309805448766,7.373336660119726
5801,62.24970997691264,118.12071048856414,6.378709465261139
5901,63.01241525648366,120.5586787228481,5.466151790119227
6001,63.77966184323899,123.00644902664754,4.5528746598304295
6101,64.54671614823897,125.46290600441739,3.6305262920605514
6201,65.29547784458174,127.88591368260776,2.7050420065557077
6301,66.02032468722989,130.30322654719618,1.737422827263586
6401,66.69916335132204,132.72906224261243,0.6692644600316555
6501,67.40045239614871,135.20708137870804,-0.4061765864106377
6601,68.19066119608401,137.81750521350824,-1.436182821340239
6701,68.98838186614731,140.4206587509177,-2.4438950186230954
6801,69.72348295000852,142.84769104958295,-3.4007251495659148
6901,70.40745087913741,145.13062439491503,-4.315722636640203
7001,71.0807709668538,147.41442209258207,-5.252880158874461
