interaction,mean,upper,lower
1,7.706348037719726,16.402975574691517,-0.9902794992520647
1001,11.970910288766026,17.52767240609005,6.414148171442002
2001,16.235472539812328,19.19991580907464,13.271029270550018
3001,20.500034790858628,23.559820162622103,17.440249419095153
4001,24.764597041904928,30.474298706814995,19.05489537699486
5001,31.52268571034074,38.227568290296794,24.81780313038468
6001,38.54557364434004,46.9656146735101,30.125532615169973
7001,48.63542455136776,56.06780458870403,41.2030445140315
8001,59.24121315479279,65.65505053338418,52.8273757762014
9001,69.45234799981117,73.77645051307175,65.12824548655058
10001,79.56970373392105,83.71691435183058,75.42249311601151
11001,90.19394960105419,96.04197332384463,84.34592587826374
12001,100.97826603651046,109.54563760107341,92.41089447194751
13001,110.65795534551144,120.8135384796,100.50237221142288
14001,119.89082918763161,132.76660203688448,107.01505633837874
15001,128.58879750072956,141.8745059800188,115.30308902144031
16001,137.0160907268524,149.6978787531002,124.33430270060462
17001,145.0852004170418,157.4523779610516,132.71802287303197
18001,152.93102686405183,165.77285752409796,140.0891962040057
19001,160.58076261281968,174.02054096135663,147.14098426428274
20001,172.15933346748352,188.38427360283387,155.93439333213317
21001,162.82339984178543,176.6912911771151,148.95550850645577
22001,153.48746621608734,166.76382117091958,140.2111112612551
23001,144.15153259038925,158.8170791124342,129.48598606834432
24001,134.81559896469116,152.38740512681372,117.2437928025686
25001,127.31610433161259,147.06844939838348,107.5637592648417
26001,122.31139474511147,142.67648800821834,101.9463014820046
27001,121.42883058190345,140.20996271059164,102.64769845321527
28001,127.38727371692657,140.63794589157948,114.13660154227367
29001,135.11585873663427,145.06102413692497,125.17069333634358
30001,146.47107591032983,155.87532927894202,137.06682254171764
31001,156.9963549256325,166.5519404394358,147.44076941182917
32001,165.38750724792482,173.94353790662427,156.83147658922536
33001,173.43221541047097,181.81814357449804,165.0462872464439
34001,180.33007394075395,190.45314311595922,170.20700476554867
35001,187.1937135398388,199.89336646852607,174.49406061115153
36001,193.90559961795807,207.06540943072713,180.74578980518902
37001,200.55765755176543,214.5703700397664,186.54494506376446
38001,206.82963080406188,222.70155621727167,190.95770539085208
39001,213.1065342247486,231.35391081947125,194.85915763002595
40001,234.4958846092224,240.82496879584136,228.16680042260344
41001,238.87138856649398,243.8353071625902,233.90746997039776
42001,243.24689252376555,247.16728855169814,239.32649649583297
43001,247.62239648103713,251.1215904171871,244.12320254488716
44001,251.9979004383087,255.90495142204918,248.09084945456823
45001,256.3734043955803,261.31623481712074,251.43057397403982
46001,261.41778960227964,265.94287333603364,256.89270586852564
47001,266.5018542051315,270.7218610152551,262.2818473950079
48001,273.53956298828126,277.82292130001565,269.2562046765469
49001,280.8040340423584,286.153193966567,275.4548741181498
50001,287.04772503376006,293.43951865334924,280.6559314141709
51001,293.10844601392745,300.6390338994966,285.5778581283583
52001,298.97156925201415,308.0833901302725,289.8597483737558
53001,304.7852930545807,315.9416496091629,293.6289364999985
54001,310.462832069397,323.4444231839047,297.4812409548893
55001,316.09545907974245,331.36090465291613,300.8300135065688
56001,321.32281188964845,338.22376779145804,304.42185598783885
57001,326.37976531982423,344.78098984298015,307.9785407966683
58001,332.41757411956786,352.68512499791916,312.15002324121656
59001,338.9697339057922,361.57971544436634,316.3597523672181
60001,355.95182394981384,367.82127241596976,344.0823754836579
61001,362.59274846315384,371.1636054900631,354.0218914362446
62001,369.23367297649384,374.9077763778879,363.5595695750998
63001,375.87459748983383,380.00877027198817,371.7404247076795
64001,382.5155220031738,387.8209339310737,377.210110075274
65001,389.1564465165138,397.2412150849826,381.071677948045
66001,394.5300570964813,405.82332531901426,383.23678887394834
67001,398.43970158100126,413.86957288820605,383.00983027379647
68001,402.67428035736083,420.578662688218,384.76989802650365
69001,407.36501688957213,425.1711353562591,389.5588984228852
70001,411.78046271800997,429.7837047491803,393.77722068683966
71001,415.7231266856194,434.5541509292042,396.89210244203457
72001,419.99404630661013,440.3094613599489,399.67863125327136
73001,424.96250919103625,446.13650712341587,403.7885112586566
74001,429.70925853252413,452.9245792513973,406.493937813651
75001,433.8625980973244,460.7480617782246,406.9771344164242
76001,439.1172031879425,468.53125250162026,409.70315387426473
77001,448.1869067072868,475.4322574565419,420.94155595803176
78001,456.22592041492464,484.0489879731493,428.4028528567
79001,459.4394318223,491.9713057344528,426.90755791014715
80001,475.3948839187622,493.4313456004706,457.35842223705384
81001,477.50096784830095,492.72853921772787,462.273396478874
82001,479.6070517778397,492.2677659447369,466.94633761094246
83001,481.7131357073784,492.22780214100214,471.19846927375465
84001,483.8192196369171,492.91166214674365,474.7267771270906
85001,485.92530356645585,494.67953596959944,477.17107116331226
86001,488.0313874959946,497.6465023019457,478.41627269004346
87001,485.7697791099548,495.5427037532707,475.9968544666389
88001,483.4371513366699,494.4451570600924,472.4291456132474
89001,483.13190375566484,494.76950145346643,471.49430605786324
90001,482.96528046131135,496.5306754098513,469.3998855127714
91001,481.41505538225175,496.7743705741399,466.0557401903636
92001,479.690321969986,497.8545128846969,461.5261310552751
93001,487.2381000995636,502.986410295902,471.48978990322524
94001,496.5520709037781,510.1275852351743,482.97655657238187
95001,504.0766236662865,519.750532457952,488.40271487462104
96001,511.1312282562256,531.3841118688018,490.8783446436493
97001,514.3560216426849,539.0341984671406,489.6778448182293
98001,516.2630305290222,546.7523249343848,485.7737361236596
99001,516.1055073022842,550.0533373045487,482.1576773000197
