interaction,mean,upper,lower
1,11.006170991384455,65.14810960522388,-43.13576762245498
101,10.73957449802233,63.03449599949222,-41.555347003447565
201,11.89527100383449,65.741575183327,-41.95103317565802
301,13.783902379469035,69.53631065451272,-41.96850589557465
401,16.105263066194446,73.27176543728149,-41.0612393048926
501,17.80526985957931,76.93383814730737,-41.32329842814875
601,19.49654487080898,80.69786435844877,-41.704774616830804
701,20.944088121290424,84.47535709897195,-42.5871808563911
801,22.348189937467904,88.47692203025792,-43.78054215532211
901,22.993720115669454,91.50023555318919,-45.51279532185027
1001,23.306375377830513,94.38555781884452,-47.7728070631835
1101,23.572509383277684,97.53758749300928,-50.39256872645391
1201,23.755037852615935,99.40017801724042,-51.89010231200856
1301,23.977196647669935,101.19906663538964,-53.24467334004978
1401,24.451457138581045,103.25885166534931,-54.355937388187215
1501,25.223534731834132,105.50072907695854,-55.053659613290264
1601,26.1023091322229,107.84230830209489,-55.637690037649094
1701,27.010626281982034,109.12286583978593,-55.101613275821855
1801,28.195315272652362,109.25244143414015,-52.86181088883542
1901,29.34641950273875,109.42923588933466,-50.736396883857154
2001,30.42726583100934,109.58288353433268,-48.72835187231401
2101,31.28222863463298,108.86226259330707,-46.2978053240411
2201,31.827420405013573,107.23964599393436,-43.58480518390722
2301,32.36448400894405,105.90120102223469,-41.17223300434659
2401,33.512327002316795,106.37670453056231,-39.35205052592872
2501,35.504631022056415,107.79471918543139,-36.78545714131856
2601,37.373190177947734,109.39314648583984,-34.64676612994437
2701,38.979267743498006,111.38347210189852,-33.4249366149025
2801,40.68558973109991,113.22284127230681,-31.85166181010699
2901,42.37390283245854,115.05166080843183,-30.303855143514753
3001,44.04616790870451,116.95766377606265,-28.865327958653616
3101,45.693124590920505,118.96040062007572,-27.574151438234708
3201,47.291613104301625,120.8882312411458,-26.305005032542546
3301,48.74816139989739,122.71599762205585,-25.219674822261076
3401,50.20652658821399,124.49115132636997,-24.078098149941994
3501,51.71502745097678,126.28279871914418,-22.85274381719063
3601,53.146495836473875,128.0843996432045,-21.791407970256742
3701,54.5399377092438,129.91159180566876,-20.83171638718116
3801,55.938526691989736,131.79550767929396,-19.918454295314504
3901,57.10857941071397,133.53744170936784,-19.320282887939882
4001,58.15757167496385,135.18040434069437,-18.86526099076667
4101,59.17088303453097,136.84940327342463,-18.507637204362666
4201,60.042844563092935,138.498684242855,-18.412995116669144
4301,60.86440380921108,140.26100690974846,-18.532199291326307
4401,61.745465959586284,142.3436529968332,-18.852721077660632
4501,62.610545569407904,144.5170377059315,-19.295946567115692
4601,62.830514625957676,146.91414892288506,-21.25311967096971
4701,63.485924120046775,149.4934018589906,-22.52155361889706
4801,64.44108147187686,151.9623136004763,-23.08015065672258
4901,65.61609789566081,154.30765659282937,-23.075460801507745
5001,66.76909526056329,156.70159914448928,-23.1634086233627
5101,67.8001596449401,159.03118906099252,-23.43086977111234
5201,68.841283217214,161.3621277101571,-23.679561275729085
5301,69.90637448172859,163.66426689509527,-23.851517931638085
5401,70.90792788728842,166.0128565601722,-24.19700078559535
5501,71.82794852553288,168.44191238851658,-24.78601533745082
5601,72.67908175073657,170.7306540247218,-25.372490523248644
5701,73.44124419729332,172.35344424104932,-25.470955846462687
5801,74.15037401900256,173.8614470108395,-25.560698972834388
5901,74.83420541441278,175.441041949295,-25.77263112046944
6001,75.41217423737064,177.12606275657657,-26.301714281835302
6101,75.80876549391935,178.99530505166692,-27.377774063828213
6201,75.94882492589905,180.95393403969638,-29.0562841878983
6301,76.08974399519448,182.89621678696278,-30.716728796573832
6401,76.39720091520653,184.63832273092913,-31.843920900516096
6501,76.99945918353345,186.30292348200766,-32.30400511494078
6601,77.57019514122302,188.0434093301285,-32.90301904768246
6701,78.13107205023661,189.76316742790016,-33.50102332742695
6801,78.65581022260969,191.42151129238312,-34.109890847163754
6901,79.22251962010314,193.0899996879927,-34.64496044778642
7001,79.84709385457063,194.71691423843356,-35.022726529292285
7101,80.48194453646005,196.35427741034255,-35.39038833742245
7201,81.11419871011222,198.0004864900677,-35.77208906984325
7301,81.76026280833013,199.6473372769453,-36.12681166028506
7401,82.42268555041284,201.28747141907863,-36.442100318252955
7501,83.09025086234307,202.92132743811516,-36.740825713429004
7601,83.76657873646346,204.55809465600345,-37.02493718307653
7701,84.52154655209074,206.2614434908631,-37.21835038668159
7801,85.3732525451823,207.92779336334223,-37.181288272977625
7901,86.2355818327708,209.60146143331986,-37.130297767778245
8001,86.989589354679,211.15364741688074,-37.17446870752276
8101,87.72720306266359,212.6796303440465,-37.22522421871932
8201,88.45477341676497,214.20190888927908,-37.292362055749166
8301,89.15288938662914,215.74579399691646,-37.44001522365818
8401,89.80031888442178,217.2704328076525,-37.66979503880893
8501,90.4498356935151,218.78971349406896,-37.89004210703877
8601,91.07640016088888,220.2867916706642,-38.13399134888644
8701,91.70950935110689,221.7902518546844,-38.37123315247065
8801,92.3518593114861,223.29604967668607,-38.59233105371388
8901,93.00301364004672,224.7853196114503,-38.77929233135684
9001,93.64297404789178,226.18334855629578,-38.897400460512216
9101,94.30745168518601,227.59049651505111,-38.975593144679095
9201,94.99302295684835,229.01017084694735,-39.02412493325066
9301,95.67158707464156,230.4545615342708,-39.111387384987665
9401,96.34488615541417,231.92035314130993,-39.230580830481586
9501,97.01818523618682,233.39985728544661,-39.36348681307295
9601,97.74657538114369,234.96979295680157,-39.4766421945142
9701,98.49636186533169,236.5594130954699,-39.56668936480651
9801,99.24614834951971,238.16338723924946,-39.671090540210045
9901,99.99593483370772,239.78145224923895,-39.789582581823495
10001,219.3425683737217,263.032355399855,175.65278134758836
10101,219.86335291472332,263.9876825337513,175.73902329569535
10201,220.38413745572498,264.97209818857027,175.79617672287972
10301,220.9049219967266,265.984704874911,175.8251391185422
10401,221.42570653772827,267.02459041025435,175.8268226652022
10501,221.94649107872993,268.0908341831817,175.80214797427817
10601,222.46727561973154,269.18251290595316,175.75203833350992
10701,222.98806016073317,270.2987058223598,175.67741449910656
10801,223.50884470173486,271.43849935495933,175.57919004851036
10901,224.02962924273643,272.6009911907003,175.45826729477258
11001,224.55041378373812,273.78529381637594,175.3155337511003
11101,225.07119832473978,274.99053752531154,175.15185912416803
11201,225.6507212453953,276.1889510223971,175.11249146839347
11301,226.32927461880666,277.41406909451655,175.2444801430968
11401,227.04010719712878,278.65329670277094,175.4269176914866
11501,227.75932571208796,279.9041162837043,175.61453514047162
11601,228.47854422704714,281.16713224991133,175.78995620418294
11701,229.19642720969478,282.44141046492996,175.95144395445956
11801,229.91656417851513,283.7286675627238,176.10446079430648
11901,230.69637661403763,285.026323777037,176.36642945103824
12001,231.40411387016206,286.2148426544225,176.59338508590164
12101,232.08393189866123,287.3867391336206,176.78112466370183
12201,232.77451642149117,288.57040771784295,176.97862512513936
12301,233.4922512745004,289.76908101230174,177.21542153669904
12401,234.2163715134272,290.9758020575185,177.4569409693359
12501,234.95355103793662,292.1842639751607,177.72283810071252
12601,235.7097221458188,293.3885434177109,178.03090087392673
12701,236.43269068704345,294.5726564343632,178.29272493972374
12801,237.1579655838429,295.75700095042606,178.55893021725973
12901,237.8910518281053,296.95990388848725,178.82219976772333
13001,238.695688342055,298.2573872602161,179.13398942389392
13101,239.48237498004696,299.54999569717125,179.41475426292268
13201,240.189226103454,300.7961550349008,179.5822971720072
13301,240.9167075732874,302.0172198012882,179.8161953452866
13401,241.56892065461744,303.2087893020121,179.9290520072228
13501,242.19569447990426,304.3926407639801,179.9987481958284
13601,242.80082443343954,305.57966358652834,180.02198528035072
13701,243.39979633455317,306.77252937134034,180.027063297766
13801,244.0051935498544,307.96528309187045,180.04510400783835
13901,244.56517265884753,309.17439742759905,179.955947890096
14001,245.09691120758467,310.3418798697799,179.85194254538942
14101,245.68533255176317,311.53299327364425,179.83767182988208
14201,246.29971386262963,312.733707589268,179.86572013599124
14301,246.92132124108053,313.93648560381934,179.90615687834173
14401,247.5547185192746,315.1408493703554,179.96858766819378
14501,248.17234908070895,316.3509341229227,179.9937640384952
14601,248.80931809099985,317.5704810806419,180.0481551013578
14701,249.4730516602368,318.79418757959127,180.15191574088232
14801,250.13417678929187,320.0121135185912,180.25624005999254
14901,250.78287045278861,321.21812276135415,180.3476181442231
15001,251.43386509169358,322.42468006825015,180.443050115137
15101,252.10691447828452,323.6226818717087,180.59114708486032
15201,252.81979014422404,324.82795378206293,180.81162650638515
15301,253.57323811203418,326.042039871406,181.10443635266233
15401,254.2447671684109,327.2629072312724,181.2266271055494
15501,254.89352039717852,328.49618893001474,181.2908518643423
15601,255.54207525900438,329.74210443647587,181.34204608153289
15701,256.19254054261654,330.9859057947256,181.39917529050746
15801,256.8569794528415,332.2360187440341,181.47794016164886
15901,257.5169452834408,333.4967651147611,181.5371254521205
16001,258.1761947761652,334.7682853793508,181.58410417297955
16101,258.76512132785257,336.0638908048711,181.46635185083403
16201,259.31282472412056,337.3599006328797,181.2657488153614
16301,259.8430273422118,338.65698755701646,181.0290671274072
16401,260.37322996030315,339.96974765391417,180.77671226669213
16501,260.82836351065674,341.2488685243985,180.407858496915
16601,261.2296854965546,342.5229860776397,179.93638491546955
16701,261.6955819415789,343.7469491288132,179.6442147543446
