interaction,mean,upper,lower
500,-0.2182373273961951,0.3233411370533998,-0.75981579184579
600,-0.23165061402347004,0.3668229086899501,-0.8301241367368901
700,-0.25362125081741727,0.4122493695915288,-0.9194918712263633
800,-0.268002723457289,0.4261035452958161,-0.962108992210394
900,-0.3074932219645742,0.4034525862455588,-1.018439030174707
1000,-0.36073874614571577,0.37425990641618856,-1.09573739870762
1100,-0.41008999894197623,0.36386589276880704,-1.1840458906527596
1200,-0.4534232231776886,0.36569519070437995,-1.272541637059757
1300,-0.5150842016688831,0.3520092661789519,-1.382177669516718
1400,-0.5926380546633664,0.32697611845488683,-1.5122522277816195
1500,-0.6815241252305013,0.2886230259600564,-1.651671276421059
1600,-0.7878494014263403,0.23498409550391364,-1.8106828983565944
1700,-0.8941611426865773,0.1889379099027778,-1.9772601952759326
1800,-1.0081955515411978,0.14756965965958657,-2.163960762741982
1900,-1.122564017946631,0.11747266910796705,-2.362600705001229
2000,-1.2424462900307351,0.0770082388706872,-2.5619008189321573
2100,-1.3647941262051793,0.024044311540447838,-2.7536325639508066
2200,-1.4949457421022618,-0.04949140554679299,-2.9404000786577305
2300,-1.6088076997484222,-0.09654114837658834,-3.1210742511202563
2400,-1.7167665269564722,-0.12913166886123228,-3.304401385051712
2500,-1.81526602132119,-0.14660058730006087,-3.483931455342319
2600,-1.9107717135028328,-0.15987495760209902,-3.6616684694035664
2700,-2.0048992035597872,-0.17478282009371537,-3.8350155870258593
2800,-2.101819674951346,-0.19140670943802962,-4.012232640464662
2900,-2.198884582761335,-0.21202272178954362,-4.185746443733126
3000,-2.308919536640272,-0.24454902669385392,-4.373290046586691
3100,-2.4166578182980376,-0.26741953327162893,-4.565896103324446
3200,-2.541152703227419,-0.33299357580698974,-4.749311830647848
3300,-2.6965146139546454,-0.4795613870693969,-4.913467840839894
3400,-2.8071217440334335,-0.532547980129014,-5.081695507937853
3500,-2.9091419760117856,-0.5674398540582422,-5.250844097965329
3600,-3.0285270447150032,-0.5984887294635954,-5.458565359966411
3700,-3.1552126744546136,-0.618366933132791,-5.692058415776437
3800,-3.28262136262227,-0.6317559164766227,-5.933486808767917
3900,-3.4029868695989043,-0.6274300682278455,-6.1785436709699635
4000,-3.5497318082549407,-0.6710243375774225,-6.4284392789324585
4100,-3.6908168118528195,-0.7333347973983115,-6.648298826307327
4200,-3.820846918885711,-0.8046806464611178,-6.837013191310304
4300,-3.9494160813734305,-0.8739609345398387,-7.024871228207022
4400,-4.0862900490352345,-0.9670936606449181,-7.2054864374255505
4500,-4.231025907249011,-1.0878047364172652,-7.3742470780807565
4600,-4.376421448480486,-1.2066820654408832,-7.546160831520089
4700,-4.520417626259009,-1.3225588431147717,-7.718276409403247
4800,-4.662145665384651,-1.4342387707700754,-7.890052559999226
4900,-4.8042665495694274,-1.5450348793088886,-8.063498219829967
5000,-4.946498236206779,-1.6546690442318468,-8.23832742818171
5100,-5.104447979750173,-1.7958077168516802,-8.413088242648666
5200,-5.2705888962840275,-1.9169654244320373,-8.624212368136018
5300,-5.427343102458336,-2.0006834023272697,-8.854002802589402
5400,-5.576023504261316,-2.0734512763069692,-9.078595732215664
5500,-5.769096674470086,-2.146359943281964,-9.391833405658208
5600,-5.971257807799075,-2.2148126411683697,-9.72770297442978
5700,-6.161611159429782,-2.2560949879256276,-10.067127330933936
5800,-6.362998046070998,-2.3055584498088786,-10.420437642333116
