run,step,value
001,69,2.7289650440216064
001,445,16.564729690551758
001,1362,49.312767028808594
001,2121,77.3269271850586
001,2252,66.87468719482422
001,2358,58.68023681640625
001,2523,54.53358840942383
001,2698,52.1346435546875
001,2875,50.33248519897461
001,3040,48.37168884277344
001,3212,46.929107666015625
001,3369,45.48021697998047
001,3547,44.697383880615234
001,3717,43.888221740722656
001,3891,43.16520690917969
001,4081,41.689056396484375
001,4360,38.43659591674805
001,4633,35.78730392456055
001,4904,33.41552734375
001,5179,31.141887664794922
001,5455,29.098949432373047
001,5730,27.259428024291992
001,6026,25.56048011779785
001,6146,23.787248611450195
001,6272,22.179458618164062
001,6378,21.429227828979492
001,6868,24.496633529663086
001,7435,24.552339553833008
001,8071,20.728910446166992
001,8804,22.505022048950195
001,9515,24.379913330078125
001,10236,25.90452766418457
001,10918,31.206226348876953
001,11349,34.805931091308594
001,11843,36.17156219482422
001,12589,42.04499053955078
001,13265,52.45332717895508
001,13817,61.17950439453125
001,14343,69.54293060302734
001,14868,78.03865051269531
001,15353,86.47440338134766
001,15917,97.0273208618164
001,16358,105.89805603027344
001,16799,114.49075317382812
001,17445,125.78345489501953
001,18022,136.5753936767578
001,18632,147.0342559814453
001,19457,158.2156982421875
001,20048,167.0037078857422
002,85,4.601031303405762
002,323,-0.5567822456359863
002,681,11.552734375
002,989,5.201754093170166
002,1256,2.616722583770752
002,1524,0.9446653723716736
002,1791,-0.45524707436561584
002,2060,-1.49468195438385
002,2328,-2.3282358646392822
002,2596,-2.9290692806243896
002,2864,-3.3911211490631104
002,3132,-3.7755508422851562
002,3397,-4.218526840209961
002,3665,-4.505342483520508
002,3934,-4.793517589569092
002,4201,-4.964735507965088
002,4468,-5.1839189529418945
002,4736,-5.338770389556885
002,5116,-1.432417392730713
002,5390,2.2318756580352783
002,5684,5.9628520011901855
002,5980,9.414641380310059
002,6256,12.066791534423828
002,6532,14.49409294128418
002,6760,15.896228790283203
002,6852,15.056023597717285
002,7241,17.99300193786621
002,7692,22.529794692993164
002,8428,31.8140811920166
002,9446,48.64500045776367
002,11182,70.67784118652344
002,11916,82.67240905761719
002,12232,87.57176208496094
002,12274,87.93154907226562
002,12305,88.19776153564453
002,12347,88.56037902832031
002,12904,100.53993225097656
002,13488,107.32833099365234
002,14466,125.27064514160156
002,15444,140.8299560546875
002,16406,159.08169555664062
002,17091,170.652587890625
002,17594,178.35047912597656
002,18481,188.60000610351562
002,19227,197.15333557128906
002,19673,201.03538513183594
003,66,0.6605337262153625
003,154,1.3657875061035156
003,396,-2.20066499710083
003,670,-4.458785057067871
003,945,-4.991403102874756
003,1222,-5.00407600402832
003,1474,-5.50637674331665
003,1606,-5.841281414031982
003,1686,-6.082385540008545
003,1710,-6.009905815124512
003,1734,-5.941734313964844
003,1757,-5.789869785308838
003,1781,-5.633878707885742
003,1804,-5.524773120880127
003,1828,-5.411327362060547
003,1852,-5.2989373207092285
003,1876,-5.206766605377197
003,1900,-5.126194953918457
003,1924,-5.057493686676025
003,1948,-4.991462707519531
003,1972,-4.931888580322266
003,1996,-4.8728203773498535
003,2020,-4.823612213134766
003,2044,-4.777753829956055
003,2068,-4.7333269119262695
003,2092,-4.909365177154541
003,2116,-5.140181541442871
003,2140,-4.914933681488037
003,2164,-4.614080429077148
003,2188,-4.476706027984619
003,2212,-4.423743724822998
003,2236,-4.231754779815674
003,2260,-4.05399227142334
003,2284,-3.8829665184020996
003,2308,-3.8165695667266846
003,2332,-3.754082441329956
003,2356,-3.738450765609741
003,2380,-3.738616466522217
003,2404,-3.7219154834747314
003,2428,-3.7188172340393066
003,2452,-3.7217626571655273
003,2476,-3.7237730026245117
003,2500,-3.7255141735076904
003,2529,-3.6443843841552734
003,2812,-1.7284554243087769
003,3131,2.082789421081543
003,3507,3.093380928039551
003,3927,0.4648248851299286
003,4341,-1.9674354791641235
003,4762,-4.600417137145996
003,5177,-7.092116355895996
003,5590,-9.50216293334961
003,6005,-11.994019508361816
003,6422,-14.63479995727539
003,6845,-17.426469802856445
003,7263,-19.99464225769043
003,7488,-20.217418670654297
003,7568,-20.63942527770996
003,7631,-20.916187286376953
003,7733,-20.44286346435547
003,7859,-19.190196990966797
003,8401,-10.106744766235352
003,8870,-1.90548837184906
003,9138,3.0986671447753906
003,9717,7.421817779541016
003,10281,10.049726486206055
003,11609,15.992194175720215
003,12290,19.016077041625977
003,13117,25.623798370361328
003,13973,27.262500762939453
003,15364,34.395103454589844
003,15844,42.01856994628906
003,18244,70.39414978027344
003,18732,81.44860076904297
003,19446,95.8603515625
003,20037,107.94831848144531
004,104,4.095998764038086
004,128,-0.4553248882293701
004,152,-1.493221640586853
004,355,17.55417823791504
004,1080,27.83207130432129
004,1832,35.69947052001953
004,2627,42.764163970947266
004,3379,46.80922317504883
004,4192,51.53934097290039
004,4984,54.863189697265625
004,5679,55.45728302001953
004,6417,56.77554702758789
004,7258,59.84770584106445
004,8021,61.08205795288086
004,8827,62.839263916015625
004,9676,68.72533416748047
004,10410,68.82184600830078
004,11258,70.45355224609375
004,12018,70.77095031738281
004,12780,71.10979461669922
004,13520,71.16070556640625
004,14229,70.83927917480469
004,14951,70.68782043457031
004,15596,69.83081817626953
004,16534,71.264404296875
004,16978,74.8990707397461
004,17307,79.91243743896484
004,18050,84.4556884765625
004,18830,83.47057342529297
004,19489,82.58097839355469
005,86,2.400130271911621
005,168,-4.620126724243164
005,238,-8.935470581054688
005,512,-8.382431030273438
005,787,-8.998675346374512
005,1061,-9.31513786315918
005,1336,-9.471296310424805
005,1611,-9.612966537475586
005,1884,-9.638093948364258
005,2163,-10.02804946899414
005,2438,-10.050620079040527
005,2711,-9.942500114440918
005,2985,-10.075461387634277
005,3259,-10.113655090332031
005,3894,-5.698597431182861
005,4652,-0.5828761458396912
005,5447,4.503202438354492
005,6172,8.052205085754395
005,6980,12.303095817565918
005,7808,16.34748649597168
005,8619,22.639854431152344
005,9492,26.34956169128418
005,10319,29.23777198791504
005,11064,31.06470489501953
005,11602,32.90863800048828
005,11890,35.67029571533203
005,12177,39.013389587402344
005,12465,42.621429443359375
005,12756,45.77808380126953
005,13045,49.11104965209961
005,13337,52.440799713134766
005,13626,55.743568420410156
005,13916,59.029300689697266
005,14207,62.2910270690918
005,14497,65.72016906738281
005,14787,68.98428344726562
005,15071,72.18946075439453
005,15369,75.7366943359375
005,15663,79.13912200927734
005,15946,79.76179504394531
005,16235,79.61383819580078
005,16529,79.09191131591797
005,16818,79.23617553710938
005,17104,78.52567291259766
005,17396,77.6809310913086
005,17685,74.62136840820312
005,17976,73.35875701904297
005,18263,72.51595306396484
005,18557,72.53350830078125
005,18846,72.3289794921875
005,19134,72.35993194580078
005,19428,72.49956512451172
005,19717,72.50108337402344
005,20005,72.45858001708984
006,68,-3.0530667304992676
006,121,-4.288270473480225
006,145,-4.694188594818115
006,169,-5.410464286804199
006,193,-5.9704084396362305
006,217,-6.363707065582275
006,286,-7.891408443450928
006,383,-9.133844375610352
006,478,-10.04450798034668
006,648,-10.408900260925293
006,922,-10.635652542114258
006,1196,-10.573028564453125
006,1468,-10.451725006103516
006,1741,-10.533308982849121
006,2017,-10.730233192443848
006,2287,-10.599637031555176
006,2561,-10.788276672363281
006,2834,-10.829460144042969
006,3110,-10.986763954162598
006,3339,-10.903424263000488
006,3893,-8.281777381896973
006,4588,-4.527393817901611
006,5383,0.09607861191034317
006,6116,5.286655426025391
006,6726,12.834493637084961
006,7340,23.6368408203125
006,7880,33.77629470825195
006,8594,38.07011413574219
006,9204,45.173038482666016
006,9723,55.06789016723633
006,10563,68.95108795166016
006,11085,79.32215118408203
006,11610,89.76696014404297
006,12194,100.78086853027344
006,12761,111.59288787841797
