Wall time,Step,Value
1652963155.3274326,122,0.08795254677534103
1652963155.5584316,172,0.10025554150342941
1652963156.0397124,270,-0.08728677779436111
1652963157.3832092,527,-0.06974053382873535
1652963160.4461484,1180,-1.103384017944336
1652963164.5396912,2002,-2.407166004180908
1652963168.4961152,2722,-3.2257161140441895
1652963172.7235157,3378,-4.159118175506592
1652963175.4684553,3969,-6.217401504516602
1652963179.0902624,5416,-8.896004676818848
1652963187.0333326,6127,-13.648927688598633
1652963190.7588222,6837,-16.51108741760254
1652963194.9291735,7616,-19.641481399536133
1652963197.7971652,7992,-22.141246795654297
1652963200.3439925,8569,-23.01514434814453
1652963204.473525,9325,-24.697376251220703
1652963208.2838674,10036,-26.335407257080078
1652963211.867524,10726,-28.70458221435547
1652963215.224613,11278,-30.85154914855957
1652963218.936142,11995,-32.387550354003906
1652963222.3651392,12626,-34.9811897277832
1652963225.828073,13310,-36.861515045166016
1652963229.6117177,14009,-38.97563552856445
1652963233.1308122,14569,-40.515403747558594
1652963236.0832906,15093,-42.52203369140625
1652963239.31507,15694,-43.74345016479492
1652963242.3479278,16307,-45.71139907836914
1652963245.5731328,16849,-47.23915481567383
1652963248.805627,17541,-48.28939437866211
1652963252.1769447,18086,-50.63587951660156
1652963255.3387954,18742,-52.0883674621582
1652963259.04396,19344,-53.50970458984375
1652963261.9995015,19852,-55.58815383911133
1652963264.6711776,20350,-56.80622863769531
1652963267.5178697,20895,-58.52668380737305
1652963270.8151078,21491,-58.8346061706543
1652963273.9726255,22080,-61.334651947021484
1652963278.451706,22913,-62.39757537841797
1652963281.8656015,23528,-64.4611587524414
1652963285.3004487,24150,-65.7565689086914
1652963288.9043221,24812,-67.59860229492188
1652963291.9997506,25370,-69.25053405761719
1652963294.9842863,25931,-70.08961486816406
1652963298.2089083,26493,-71.20217895507812
1652963301.3896618,27106,-72.62934875488281
1652963304.490293,27660,-74.03852081298828
1652963307.7139006,28303,-75.21218872070312
1652963311.56204,28956,-76.1994400024414
1652963314.7611651,29548,-78.02869415283203
1652963317.946829,30125,-77.96321868896484
1652963321.2970874,30760,-79.3781509399414
1652963324.6674056,31376,-80.73641204833984
1652963327.9944625,31982,-81.87518310546875
1652963331.515196,32627,-83.04263305664062
1652963334.815073,33260,-83.7167739868164
1652963338.2833009,33877,-84.78655242919922
1652963341.7345386,34496,-86.30531311035156
1652963345.100145,35113,-86.55374908447266
1652963348.4309855,35734,-87.06089782714844
1652963351.799866,36334,-88.78731536865234
1652963355.0409443,36936,-88.79122161865234
1652963358.1634896,37485,-90.07901000976562
1652963361.3167956,38079,-90.52166748046875
1652963364.7262251,38701,-90.8866195678711
1652963367.8688657,39278,-91.4764404296875
1652963371.2093947,39855,-92.59197235107422
1652963374.2983203,40425,-93.15131378173828
1652963377.3619983,40996,-93.73551177978516
1652963380.5569742,41576,-93.91679382324219
1652963383.8639708,42171,-95.26628875732422
1652963387.061363,42727,-95.56645965576172
1652963390.2111175,43380,-96.25816345214844
1652963393.9666684,43997,-95.50016784667969
1652963397.38061,44634,-96.73677062988281
1652963400.611791,45208,-97.26512908935547
1652963404.3266568,45886,-97.35464477539062
1652963407.6534214,46456,-98.26542663574219
1652963411.1933193,47109,-97.79238891601562
1652963415.0743916,47776,-98.98058319091797
1652963418.8848095,48439,-99.69284057617188
1652963422.389396,49068,-99.7238998413086
1652963426.0549233,49665,-100.8530502319336
1652963429.3266442,50298,-101.0039291381836
1652963433.2479649,50963,-101.66282653808594
1652963437.3553312,51677,-102.29607391357422
1652963440.9947436,52302,-103.29574584960938
1652963444.7531223,52989,-103.33381652832031
1652963449.0738475,53700,-104.05403137207031
1652963452.6339016,54291,-104.35525512695312
1652963456.7440603,54969,-104.19586181640625
1652963460.3425226,55592,-104.27995300292969
1652963464.3875144,56251,-104.58103942871094
1652963468.5018375,56932,-105.0229263305664
1652963473.037977,57634,-106.24957275390625
1652963476.73935,58254,-106.63660430908203
1652963480.5308893,58834,-106.17649841308594
1652963484.1837142,59447,-106.44419860839844
1652963488.5703318,60149,-106.45289611816406
1652963492.6819005,60783,-106.74998474121094
1652963496.8542063,61436,-107.72575378417969
1652963501.0859725,62100,-107.81970977783203
1652963505.2451167,62765,-107.5941162109375
1652963509.8539085,63540,-108.47251892089844
1652963515.264694,64362,-109.06339263916016
1652963520.4124393,65141,-109.46223449707031
1652963525.3955338,65929,-110.15998840332031
1652963530.679806,66670,-110.71726989746094
1652963535.8676093,67516,-110.96971130371094
1652963541.342228,68342,-111.04693603515625
1652963548.1019719,69303,-111.99410247802734
1652963554.3486943,70216,-112.18306732177734
1652963560.2155955,71037,-112.31623840332031
1652963565.9400985,71808,-112.67024230957031
1652963572.379583,72692,-114.0244369506836
1652963579.6780236,73590,-114.54302978515625
1652963585.9827497,74409,-113.75923919677734
1652963593.0623634,75249,-114.83057403564453
1652963599.7810082,76057,-115.21149444580078
1652963607.274635,76973,-115.27632904052734
1652963615.5733123,77964,-115.84041595458984
1652963625.124808,79091,-115.69110107421875
1652963636.91154,80394,-116.74748229980469
1652963646.0783906,81432,-117.03514099121094
1652963655.963588,82414,-117.8845443725586
1652963665.0034127,83385,-118.33285522460938
1652963677.839154,84887,-119.0902099609375
1652963687.1402073,85898,-120.11457061767578
1652963696.9720428,86957,-120.4183120727539
1652963705.1769133,87869,-120.60755920410156
1652963717.453207,89257,-121.74406433105469
1652963726.7020314,90187,-122.30862426757812
1652963736.7000751,91780,-123.28540802001953
1652963750.6379876,92996,-124.1336441040039
1652963764.036835,94386,-124.54571533203125
1652963775.540597,95551,-125.33355712890625
1652963785.4464757,97059,-125.90454864501953
1652963808.0760362,99076,-126.44129943847656
