run,step,value
001,2048,-0.3022249639034271
001,4096,1.997816801071167
001,6144,5.038014888763428
001,8192,8.175593376159668
001,10240,16.738142013549805
001,12288,26.218215942382812
001,14336,27.471084594726562
001,16384,32.65378952026367
001,18432,42.905921936035156
001,20480,48.34031295776367
002,2048,-1.6390482187271118
002,4096,2.4966163635253906
002,6144,6.441500663757324
002,8192,12.488578796386719
002,10240,16.593490600585938
002,12288,20.188873291015625
002,14336,32.508419036865234
002,16384,40.0628547668457
002,18432,46.98145294189453
002,20480,67.2231216430664
003,2048,-0.0753769725561142
003,4096,2.0008020401000977
003,6144,4.88831090927124
003,8192,9.45357608795166
003,10240,15.480995178222656
003,12288,21.14325714111328
003,14336,29.496000289916992
003,16384,43.80976867675781
003,18432,57.53522872924805
003,20480,75.54903411865234
004,2048,0.09478630125522614
004,4096,2.12412691116333
004,6144,6.288261890411377
004,8192,9.1499605178833
004,10240,17.444049835205078
004,12288,22.75918197631836
004,14336,28.78691291809082
004,16384,38.60430145263672
004,18432,49.283424377441406
004,20480,61.76832962036133
005,2048,-0.4834776818752289
005,4096,1.6838605403900146
005,6144,6.6439433097839355
005,8192,12.444025039672852
005,10240,18.975133895874023
005,12288,23.52587127685547
005,14336,33.582069396972656
005,16384,41.160587310791016
005,18432,58.78849411010742
005,20480,72.18997955322266
006,2048,-0.3424931466579437
006,4096,0.8736150860786438
006,6144,3.8424553871154785
006,8192,8.289684295654297
006,10240,12.83786392211914
006,12288,16.7884464263916
006,14336,23.62879180908203
006,16384,27.462491989135742
006,18432,36.507469177246094
006,20480,44.33943176269531
007,2048,-1.2681125402450562
007,4096,2.241028070449829
007,6144,6.4781413078308105
007,8192,8.307209968566895
007,10240,13.554486274719238
007,12288,20.139345169067383
007,14336,26.00467872619629
007,16384,34.63016891479492
007,18432,41.92433547973633
007,20480,57.49378967285156
008,2048,-0.6196216940879822
008,4096,2.795337677001953
008,6144,6.66200590133667
008,8192,11.678465843200684
008,10240,16.794261932373047
008,12288,22.94293785095215
008,14336,28.41636848449707
008,16384,34.91883087158203
008,18432,35.89181137084961
008,20480,48.03207778930664
009,2048,-0.45342695713043213
009,4096,1.7617028951644897
009,6144,5.19760274887085
009,8192,10.164331436157227
009,10240,13.423177719116211
009,12288,19.596040725708008
009,14336,28.964860916137695
009,16384,37.387935638427734
009,18432,54.26188278198242
009,20480,66.48491668701172
010,2048,-0.41662728786468506
010,4096,1.6706985235214233
010,6144,5.722986698150635
010,8192,8.698661804199219
010,10240,12.638014793395996
010,12288,21.702661514282227
010,14336,28.59069061279297
010,16384,39.32206726074219
010,18432,46.039878845214844
010,20480,61.474769592285156
011,22528,84.52607727050781
011,24576,100.33837890625
011,26624,125.87089538574219
011,28672,133.89356994628906
011,30720,148.03286743164062
011,32768,161.70628356933594
011,34816,165.7410430908203
011,36864,173.21311950683594
011,38912,185.7300262451172
011,40960,195.8558349609375
012,22528,83.24490356445312
012,24576,93.37783813476562
012,26624,104.49696350097656
012,28672,115.86585235595703
012,30720,135.31265258789062
012,32768,147.16195678710938
012,34816,156.06973266601562
